w,vector_semantico
location,"['emplacement', 'localisation', 'placement', 'location', 'localization', 'locating', 'positioning', 'position', 'fix']",How to design your Interlocking Frame
These,[],How to design your Interlocking Frame
using,"['practice', 'expend', 'victimisation', 'utilise', 'using', 'use', 'employ', 'habituate', 'utilize', 'exploitation', 'apply', 'victimization']",How to design your Interlocking Frame
Derails,"['derail', 'jump']",How to design your Interlocking Frame
construction,"['building', 'grammatical_construction', 'structure', 'construction', 'mental_synthesis', 'expression', 'twist']",How to design your Interlocking Frame
wedge-shaped,"['cuneal', 'cuneiform', 'wedge-shaped', 'cuneate']",How to design your Interlocking Frame
.,[],How to design your Interlocking Frame
contacts,"['get_hold_of', 'physical_contact', 'impinging', 'middleman', 'contact_lens', 'contact', 'adjoin', 'striking', 'link', 'touch', 'meet', 'liaison', 'tangency', 'get_through', 'reach', 'inter-group_communication']",How to design your Interlocking Frame
carborundum,['carborundum'],How to design your Interlocking Frame
number,"['number', 'total', 'telephone_number', 'identification_number', 'list', 'figure', 'issue', 'numerate', 'count', 'amount', 'keep_down', 'add_up', 'phone_number', 'enumerate', 'act', 'bit', 'come', 'routine', 'turn', 'numeral']",How to design your Interlocking Frame
sure,"['sure', 'certain', 'for_sure', 'sure_as_shooting', 'for_certain', 'trusted', 'indisputable', 'surely', 'certainly', 'sure_enough']",How to design your Interlocking Frame
when,[],How to design your Interlocking Frame
cannot,[],How to design your Interlocking Frame
oncoming,"['oncoming', 'onset']",How to design your Interlocking Frame
up,"['up', 'astir', 'upward', 'improving', 'upwardly', 'upwards']",How to design your Interlocking Frame
always,"['ever', 'always', 'perpetually', ""e'er"", 'forever', 'constantly', 'incessantly', 'invariably']",How to design your Interlocking Frame
studying,"['analyse', 'contemplate', 'study', 'take', 'perusing', 'read', 'studying', 'canvass', 'perusal', 'analyze', 'learn', 'examine', 'meditate', 'canvas', 'hit_the_books', 'poring_over', 'consider']",How to design your Interlocking Frame
does,"['make', 'get_along', 'coif', 'cause', 'answer', 'behave', 'practise', 'fare', 'Energy_Department', 'make_out', 'execute', 'do', 'set', 'Energy', 'exercise', 'dress', 'practice', 'doe', 'DOE', 'coiffe', 'Department_of_Energy', 'manage', 'perform', 'serve', 'arrange', 'act', 'suffice', 'come', 'coiffure']",How to design your Interlocking Frame
device,"['gimmick', 'twist', 'device']",How to design your Interlocking Frame
handy,"['Handy', 'William_Christopher_Handy', 'handy', 'ready_to_hand', 'W._C._Handy']",How to design your Interlocking Frame
by,"['away', 'by', 'aside', 'past']",How to design your Interlocking Frame
aspects,"['panorama', 'view', 'scene', 'facet', 'look', 'aspect', 'facial_expression', 'face', 'prospect', 'expression', 'vista']",How to design your Interlocking Frame
),[],How to design your Interlocking Frame
follows,"['stick_with', 'succeed', 'accompany', 'espouse', 'postdate', 'keep_an_eye_on', 'watch', 'pursue', 'surveil', 'fall_out', 'stick_to', 'keep_abreast', 'play_along', 'survey', 'come_after', 'take_after', 'be', 'abide_by', 'conform_to', 'keep_up', 'observe', 'watch_over', 'comply', 'come', 'adopt', 'follow', 'trace', 'travel_along']",How to design your Interlocking Frame
Place,"['put', 'come_out', 'target', 'range', 'place', 'situation', 'aim', 'station', 'property', 'position', 'rate', 'lay', 'plaza', 'stead', 'set', 'come_in', 'post', 'order', 'direct', 'invest', 'seat', 'point', 'billet', 'commit', 'shoes', 'localize', 'identify', 'rank', 'office', 'pose', 'grade', 'localise', 'topographic_point', 'blank_space', 'home', 'spot', 'space', 'send', 'locate', 'lieu', 'berth', 'site', 'piazza']",How to design your Interlocking Frame
burrs,"['burr', 'Burr', 'bur', 'Aaron_Burr']",How to design your Interlocking Frame
as,"['A', 'atomic_number_33', 'axerophthol', 'amp', 'American_Samoa', 'type_A', 'adenine', 'as', 'group_A', 'every_bit', 'AS', 'Eastern_Samoa', 'vitamin_A', 'equally', 'deoxyadenosine_monophosphate', 'angstrom', 'a', 'ampere', 'arsenic', 'As', 'angstrom_unit', 'antiophthalmic_factor']",How to design your Interlocking Frame
size,"['size_of_it', 'size', 'sizing']",How to design your Interlocking Frame
interact,['interact'],How to design your Interlocking Frame
later,"['subsequently', 'recent', 'former', 'afterwards', 'by_and_by', 'ulterior', 'belated', 'posterior', 'after', 'late', 'later_on', 'previous', 'later', 'tardy', 'afterward']",How to design your Interlocking Frame
shown,"['render', 'shew', 'show_up', 'evidence', 'register', 'usher', 'evince', 'testify', 'indicate', 'demo', 'bear_witness', 'express', 'record', 'prove', 'point', 'depict', 'designate', 'demonstrate', 'show', 'picture', 'exhibit', 'read', 'establish', 'present']",How to design your Interlocking Frame
normal,"['convention', 'normal', 'pattern', 'rule', 'formula']",How to design your Interlocking Frame
more,"['Thomas_More', 'more', 'to_a_greater_extent', 'Sir_Thomas_More', 'More', 'more_than']",How to design your Interlocking Frame
length,"['distance', 'duration', 'length']",How to design your Interlocking Frame
photos,"['exposure', 'pic', 'photograph', 'picture', 'photo']",How to design your Interlocking Frame
understood,"['understand', 'sympathize', 'empathize', 'sympathise', 'tacit', 'read', 'infer', 'realize', 'interpret', 'translate', 'empathise', 'see', 'realise', 'understood', 'silent']",How to design your Interlocking Frame
interlocking,"['interwoven', 'interlock', 'interlace', 'interlinking', 'mesh', 'interlocking', 'engagement', 'meshing', 'interlacing', 'lock']",How to design your Interlocking Frame
most,"['nigh', 'virtually', 'about', 'most', 'nearly', 'well-nigh', 'almost', 'near', 'to_the_highest_degree']",How to design your Interlocking Frame
Endeavor,"['strive', 'enterprise', 'try', 'effort', 'endeavour', 'endeavor', 'attempt']",How to design your Interlocking Frame
into,[],How to design your Interlocking Frame
slot,"['one-armed_bandit', 'time_slot', 'slot', 'expansion_slot']",How to design your Interlocking Frame
an,"['Associate_in_Nursing', 'AN']",How to design your Interlocking Frame
puzzle,"['dumbfound', 'puzzler', 'nonplus', 'stupefy', 'vex', 'stick', 'mystifier', 'teaser', 'get', 'baffle', 'gravel', 'amaze', 'mystify', 'pose', 'puzzle', 'flummox', 'beat', 'perplex', 'bewilder']",How to design your Interlocking Frame
connecting,"['get_in_touch', 'associate', 'plug_into', 'colligate', 'connect', 'touch_base', 'link', 'link_up', 'relate', 'plug_in', 'tie_in', 'tie', 'unite', 'join']",How to design your Interlocking Frame
50,"['fifty', '50', 'L', 'l']",How to design your Interlocking Frame
finish,"['culture', 'stop', 'terminate', 'finis', 'finish_up', 'end_up', 'polish_off', 'finishing', 'refinement', 'complete', 'last', 'ending', 'polish', 'conclusion', 'finale', 'destination', 'fetch_up', 'end', 'close', 'cease', 'cultivation', 'land_up', 'stopping_point', 'finish', 'wind_up', 'goal', 'coating', 'eat_up']",How to design your Interlocking Frame
1/4'',[],How to design your Interlocking Frame
--,[],How to design your Interlocking Frame
completed,"['completed', 'dispatch', 'discharge', 'finish', 'nail', 'fill_in', 'make_out', 'realized', 'fill_out', 'realised', 'accomplished', 'complete']",How to design your Interlocking Frame
signals,"['indicate', 'signalise', 'bespeak', 'sign', 'signal', 'point', 'signaling', 'signalize', 'betoken']",How to design your Interlocking Frame
Interlocking,"['interwoven', 'interlock', 'interlace', 'interlinking', 'mesh', 'interlocking', 'engagement', 'meshing', 'interlacing', 'lock']",How to design your Interlocking Frame
C,"['blow', 'coulomb', 'C', 'vitamin_C', 'degree_centigrade', 'coke', 'atomic_number_6', 'speed_of_light', 'c', 'ascorbic_acid', 'carbon', 'deoxycytidine_monophosphate', 'hundred', 'light_speed', 'century', 'ampere-second', 'cytosine', '100', 'nose_candy', 'degree_Celsius', 'snow', 'one_C', 'one_hundred']",How to design your Interlocking Frame
needed,"['requisite', 'involve', 'necessitate', 'take', 'want', 'needed', 'required', 'postulate', 'require', 'ask', 'demand', 'needful', 'call_for', 'need']",How to design your Interlocking Frame
movement,"['crusade', 'motility', 'drift', 'motion', 'campaign', 'move', 'effort', 'drive', 'movement', 'apparent_movement', 'bowel_movement', 'bm', 'cause', 'trend', 'apparent_motion', 'front', 'social_movement']",How to design your Interlocking Frame
plus,"['asset', 'summation', 'positive', 'plus', 'addition']",How to design your Interlocking Frame
members,"['extremity', 'appendage', 'penis', 'phallus', 'fellow_member', 'member']",How to design your Interlocking Frame
once,"['erst', 'one_time', 'formerly', 'erstwhile', 'at_one_time', 'once', 'in_one_case']",How to design your Interlocking Frame
snug,"['cubbyhole', 'close-fitting', 'cubby', 'cosy', 'cozy', 'snuggery', 'snug', 'close']",How to design your Interlocking Frame
lay,"['put', 'lay', 'place', 'lie', 'laic', 'consist', 'secular', 'put_down', 'repose', 'ballad', 'set', 'dwell', 'rest', 'lie_in', 'lie_down', 'pose', 'position']",How to design your Interlocking Frame
about,"['nigh', 'around', 'virtually', 'about', 'astir', 'approximately', 'roughly', 'most', 'nearly', 'well-nigh', 'close_to', 'or_so', 'almost', 'more_or_less', 'some', 'near', 'just_about']",How to design your Interlocking Frame
File,"['data_file', 'file', 'file_away', 'Indian_file', 'filing_cabinet', 'register', 'single_file', 'charge', 'lodge', 'file_cabinet']",How to design your Interlocking Frame
No.,"['ordinal_number', 'ordinal', 'no.']",How to design your Interlocking Frame
equipped,"['weaponed', 'equip', 'fit', 'fitted_out', 'equipped', 'furnished', 'fit_out', 'outfit', 'equipt']",How to design your Interlocking Frame
bars,"['legal_community', 'cake', 'BAR', 'stop', 'Browning_automatic_rifle', 'debar', 'banish', 'exclude', 'stripe', 'blockade', 'barroom', 'block_off', 'taproom', 'block', 'bars', 'relegate', 'prevention', 'barricade', 'legal_profession', 'streak', 'saloon', 'parallel_bars', 'block_up', 'ginmill', 'bar', 'measure']",How to design your Interlocking Frame
distance,"['space', 'length', 'distance', 'aloofness', 'outstrip', 'outdistance']",How to design your Interlocking Frame
align,"['ordinate', 'aline', 'adjust', 'align', 'coordinate', 'line_up', 'array']",How to design your Interlocking Frame
centers,"['concentrate_on', 'focus', 'midpoint', 'pore', 'substance', 'nitty-gritty', 'center_on', 'meat', 'plaza', 'kernel', 'revolve_about', 'shopping_center', 'marrow', 'nub', 'core', 'centerfield', 'snapper', 'heart_and_soul', 'gist', 'center_of_attention', 'nerve_centre', 'revolve_around', 'concentrate', 'eye', 'inwardness', 'focus_on', 'rivet', 'centre_of_attention', 'mall', 'heart', 'pith', 'sum', 'center', 'nerve_center', 'middle', 'essence', 'shopping_mall', 'centre', 'center_field', 'shopping_centre']",How to design your Interlocking Frame
dogs,"['trail', 'frump', 'hot_dog', 'bounder', 'dog', 'cad', 'wienerwurst', 'tail', 'track', 'pawl', 'give_chase', 'frankfurter', 'click', 'wiener', 'blackguard', 'Canis_familiaris', 'domestic_dog', 'frank', 'hotdog', 'detent', 'chase_after', 'hound', 'firedog', 'chase', 'dog-iron', 'andiron', 'heel', 'weenie', 'go_after', 'tag']",How to design your Interlocking Frame
way,"['mode', 'way_of_life', 'fashion', 'room', 'way', 'style', 'agency', 'right_smart', 'manner', 'means', 'path', 'elbow_room', 'direction']",How to design your Interlocking Frame
Our,[],How to design your Interlocking Frame
become,"['get', 'suit', 'go', 'turn', 'become']",How to design your Interlocking Frame
it,"['IT', 'information_technology']",How to design your Interlocking Frame
Now,"['immediately', 'today', 'nowadays', 'straightaway', 'directly', 'like_a_shot', 'instantly', 'right_away', 'now', 'at_present', 'at_once', 'straight_off', 'forthwith']",How to design your Interlocking Frame
however,"['still', 'nonetheless', 'notwithstanding', 'yet', 'however', 'all_the_same', 'even_so', 'withal', 'nevertheless']",How to design your Interlocking Frame
actually,"['really', 'in_reality', 'actually']",How to design your Interlocking Frame
between,"[""'tween"", 'between', 'betwixt']",How to design your Interlocking Frame
bottom,"['butt', 'stern', 'bed', 'tail_end', 'hindquarters', 'fanny', 'tush', 'merchantman', 'tail', 'buttocks', 'buns', 'posterior', 'bottomland', 'keister', 'freighter', 'tooshie', 'nates', 'prat', 'seat', 'ass', 'undersurface', 'hind_end', 'merchant_ship', 'bum', 'backside', 'behind', 'can', 'bottom', 'rear', 'rump', 'rear_end', 'bottom_of_the_inning', 'derriere', 'fundament', 'fathom', 'penetrate', 'arse', 'underside']",How to design your Interlocking Frame
use,"['economic_consumption', 'utilization', 'employment', 'employ', 'utilisation', 'use_of_goods_and_services', 'enjoyment', 'function', 'utilise', 'habituate', 'purpose', 'usage', 'exercise', 'habit', 'practice', 'expend', 'role', 'utilize', 'manipulation', 'use', 'consumption', 'usance', 'apply']",How to design your Interlocking Frame
above,"['above', 'to_a_higher_place', 'in_a_higher_place', 'higher_up', 'supra']",How to design your Interlocking Frame
snug-fitting,[],How to design your Interlocking Frame
taper,"['point', 'sharpen', 'wick', 'taper', 'candle', 'wax_light']",How to design your Interlocking Frame
hold,"['sustain', 'view_as', 'clutch', 'make', 'curb', 'confine', 'keep_back', 'custody', 'have_got', 'grip', 'defend', 'hold_up', 'have', 'postponement', 'clutches', 'maintain', 'time_lag', 'support', 'concur', 'cargo_hold', 'grasp', 'admit', 'arrest', 'concord', 'delay', 'entertain', 'detainment', 'cargo_deck', 'accommodate', 'detention', 'appreciation', 'handle', 'throw', 'harbour', 'nurse', 'bear', 'obligate', 'go_for', 'bind', 'book', 'check', 'contain', 'carry', 'obtain', 'prevail', 'defy', 'wait', 'clench', 'moderate', 'clasp', 'storage_area', 'take_hold', 'halt', 'declare', 'take', 'agree', 'restrain', 'handgrip', 'keep', 'hold_back', 'retain', 'oblige', 'apply', 'harbor', 'control', 'give', 'adjudge', 'hold_in', 'deem', 'take_for', 'hold', 'guard', 'cargo_area', 'withstand', 'reserve']",How to design your Interlocking Frame
limits,"['terminal_point', 'point_of_accumulation', 'limitation', 'confine', 'circumscribe', 'demarcation_line', 'demarcation', 'limit', 'bound', 'set', 'define', 'trammel', 'determine', 'limit_point', 'fix', 'throttle', 'boundary', 'restrain', 'terminus_ad_quem', 'restrict', 'specify']",How to design your Interlocking Frame
two,"['two', 'II', 'ii', 'deuce', '2']",How to design your Interlocking Frame
line,"['describe', 'line', 'railway_line', 'production_line', 'assembly_line', 'lineage', 'credit_line', 'line_of_merchandise', 'draw', 'furrow', 'subscriber_line', 'argumentation', 'pedigree', 'parentage', 'demarcation', 'pipeline', 'communication_channel', 'transmission_line', 'wrinkle', 'dividing_line', 'line_of_credit', 'cable', 'short_letter', 'course', 'business_line', 'business', 'line_of_reasoning', 'descent', 'air', 'crinkle', 'telephone_line', 'channel', 'rail_line', 'stock', 'line_of_business', 'personal_line_of_credit', 'run_along', 'argument', 'logical_argument', 'line_of_products', 'job', 'telephone_circuit', 'billet', 'line_of_descent', 'crease', 'origin', 'melodic_line', 'ancestry', 'personal_credit_line', 'agate_line', 'product_line', 'delineate', 'contrast', 'tune', 'strain', 'melody', 'seam', 'phone_line', 'stemma', 'occupation', 'melodic_phrase', 'note', 'blood', 'line_of_work', 'trace', 'bank_line', 'bloodline', 'blood_line']",How to design your Interlocking Frame
false,"['fake', 'false', 'pretended', 'put_on', 'off-key', 'untrue', 'sham', 'assumed', 'faithlessly', 'fictive', 'treacherously', 'delusive', 'simulated', 'faux', 'treasonably', 'mistaken', 'fictitious', 'imitation', 'sour', 'traitorously']",How to design your Interlocking Frame
notch,"['notch', 'snick', 'nick', 'pass', 'mountain_pass']",How to design your Interlocking Frame
away,"['forth', 'aside', 'outside', 'off', 'away', 'out', 'by']",How to design your Interlocking Frame
locked,"['interlock', 'interlace', 'lock_away', 'shut_up', 'lock_in', 'mesh', 'operate', 'lock_up', 'engage', 'put_away', 'lock', 'shut_away']",How to design your Interlocking Frame
working,"['make', 'bring', 'working', 'function', 'on_the_job', 'solve', 'wreak', 'operate', 'exploit', 'do_work', 'crop', 'exercise', 'work', 'mould', 'knead', 'functional', 'form', 'process', 'work_out', 'forge', 'play', 'make_for', 'operative', 'workings', 'cultivate', 'run', 'act_upon', 'shape', 'act', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'running', 'work_on']",How to design your Interlocking Frame
roundhead,"['Roundhead', 'roundhead']",How to design your Interlocking Frame
is,"['constitute', 'equal', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'exist', 'follow', 'personify']",How to design your Interlocking Frame
lock,"['lock_chamber', 'interlock', 'interlace', 'lock_away', 'whorl', 'lock_in', 'mesh', 'operate', 'ringlet', 'curl', 'engage', 'put_away', 'shut_up', 'ignition_lock', 'lock', 'shut_away', 'lock_up']",How to design your Interlocking Frame
their,[],How to design your Interlocking Frame
insure,"['underwrite', 'see_to_it', 'guarantee', 'ascertain', 'ensure', 'control', 'cover', 'check', 'see', 'assure', 'secure', 'insure']",How to design your Interlocking Frame
dimensions,"['attribute', 'property', 'dimension', 'proportion']",How to design your Interlocking Frame
piece,"['tack_together', 'nibble', 'piece', 'assemble', 'while', 'small-arm', 'spell', ""objet_d'art"", 'tack', 'pick', 'composition', 'piece_of_music', 'man', 'musical_composition', 'part', 'bit', 'opus', 'put_together', 'set_up', 'art_object', 'slice', 'firearm', 'patch']",How to design your Interlocking Frame
Suppose,"['opine', 'imagine', 'theorise', 'say', 'theorize', 'hypothecate', 'conjecture', 'reckon', 'hypothesise', 'presuppose', 'hypothesize', 'think', 'suppose', 'guess', 'speculate']",How to design your Interlocking Frame
at,"['atomic_number_85', 'At', 'at', 'astatine']",How to design your Interlocking Frame
moves,"['actuate', 'relocation', 'movement', 'make_a_motion', 'motility', 'proceed', 'be_active', 'motion', 'incite', 'motivate', 'prompt', 'move', 'impress', 'strike', 'locomote', 'displace', 'run', 'propel', 'act', 'go', 'affect', 'travel']",How to design your Interlocking Frame
mark,"['target', 'scrape', 'Gospel_According_to_Mark', 'patsy', 'sucker', 'nock', 'tick', 'punctuate', 'marking', 'pock', ""bull's_eye"", 'cross_out', 'stigma', 'differentiate', 'Deutschmark', 'fall_guy', 'stain', 'chump', 'check_off', 'brand', 'cross', 'mug', 'Mark', 'scratch', 'notice', 'set', 'Deutsche_Mark', 'mark', 'Saint_Mark', 'St._Mark', 'soft_touch', 'mark_off', 'stigmatize', 'tick_off', 'fool', 'marker', 'home_run', 'crisscross', 'score', 'stigmatise', 'cross_off', 'distinguish', 'check', 'strike_off', 'bell_ringer', 'grade', 'gull', 'print', 'sign', 'German_mark', 'label', 'note', 'commemorate', 'scar', 'denounce', 'tag', 'strike_out', 'pit']",How to design your Interlocking Frame
43,"['xliii', 'forty-three', '43']",How to design your Interlocking Frame
being,"['constitute', 'existence', 'equal', 'being', 'organism', 'embody', 'comprise', 'cost', 'represent', 'make_up', 'live', 'be', 'exist', 'beingness', 'follow', 'personify']",How to design your Interlocking Frame
lever,"['lever_tumbler', 'lever', 'pry', 'prise', 'jimmy', 'prize']",How to design your Interlocking Frame
drilling,"['boring', 'practice', 'practise', 'drilling', 'drill', 'bore', 'oil_production', 'exercise']",How to design your Interlocking Frame
drive,"['crusade', 'ram', 'force', 'parkway', 'effort', 'movement', 'aim', 'cause', 'ride', 'beat_back', 'push', 'tug', 'driving_force', 'driving', 'get', 'labor', 'labour', 'drive', 'private_road', 'motor', 'push_back', 'driveway', 'repel', 'force_back', 'repulse', 'take', 'campaign', 'thrust']",How to design your Interlocking Frame
much,"['a_great_deal', 'practically', 'much', 'lots', 'often', 'a_lot', 'very_much', 'a_good_deal']",How to design your Interlocking Frame
represent,"['map', 'lay_out', 'correspond', 'stand_for', 'stage', 'defend', 'constitute', 'symbolise', 'exemplify', 'interpret', 'represent', 'make_up', 'be', 'play', 'comprise', 'typify', 'act', 'present', 'symbolize']",How to design your Interlocking Frame
pin,"['immobilize', 'stick', 'pivot', 'flag', 'thole', 'pin', 'PIN', 'fall', 'rowlock', 'PIN_number', 'peg', 'bowling_pin', 'pin_tumbler', 'oarlock', 'tholepin', 'personal_identification_number', 'trap', 'immobilise']",How to design your Interlocking Frame
locks,"['lock_chamber', 'interlock', 'interlace', 'lock_away', 'whorl', 'lock_in', 'mesh', 'operate', 'ringlet', 'curl', 'engage', 'put_away', 'shut_up', 'ignition_lock', 'lock', 'shut_away', 'lock_up']",How to design your Interlocking Frame
degree,"['point', 'level', 'arcdegree', 'stage', 'degree', 'academic_degree', 'grade']",How to design your Interlocking Frame
Af,[],How to design your Interlocking Frame
Center-punch,[],How to design your Interlocking Frame
arrangement,"['arrangement', 'arranging', 'organisation', 'placement', 'agreement', 'system', 'organization', 'musical_arrangement', 'transcription']",How to design your Interlocking Frame
saw,"['run_across', 'experience', 'ensure', 'take_in', 'look', 'sawing_machine', 'construe', 'figure', 'see', 'realise', 'hear', 'meet', 'byword', 'get_wind', 'go_through', 'insure', 'visualise', 'pick_up', 'understand', 'watch', 'image', 'reckon', 'go_out', 'interpret', 'find_out', 'find', 'catch', 'encounter', 'come_across', 'visit', 'escort', 'go_steady', 'date', 'see_to_it', 'power_saw', 'ascertain', 'envision', 'view', 'attend', 'determine', 'check', 'assure', 'picture', 'regard', 'proverb', 'fancy', 'consider', 'discover', 'saw', 'witness', 'get_word', 'visualize', 'project', 'realize', 'adage', 'control', 'learn', 'examine', 'get_a_line', 'take_care', 'run_into']",How to design your Interlocking Frame
suit,"['courtship', 'accommodate', 'lawsuit', 'case', 'suit', 'fit', 'courting', 'beseem', 'wooing', 'cause', 'become', 'suit_of_clothes', 'causa', 'befit']",How to design your Interlocking Frame
distant,"['remote', 'upstage', 'distant', 'aloof', 'removed']",How to design your Interlocking Frame
lengthwise,"['lengthwise', 'lengthways', 'longways', 'longwise', 'longitudinally']",How to design your Interlocking Frame
home,"['home_plate', 'place', 'menage', 'rest_home', 'base', 'domicile', 'household', 'home_base', 'dwelling', 'habitation', 'house', 'nursing_home', 'abode', 'internal', 'interior', 'dwelling_house', 'national', 'home', 'plate', 'family']",How to design your Interlocking Frame
Figs.,[],How to design your Interlocking Frame
As,"['A', 'atomic_number_33', 'axerophthol', 'amp', 'American_Samoa', 'type_A', 'adenine', 'as', 'group_A', 'every_bit', 'AS', 'Eastern_Samoa', 'vitamin_A', 'equally', 'deoxyadenosine_monophosphate', 'angstrom', 'a', 'ampere', 'arsenic', 'As', 'angstrom_unit', 'antiophthalmic_factor']",How to design your Interlocking Frame
one,"['one', '1', 'unrivalled', 'I', 'unrivaled', 'unmatched', 'one_and_only', 'peerless', 'single', 'matchless', 'nonpareil', 'i', 'unitary', 'unmatchable', 'unity', 'ace', 'ane']",How to design your Interlocking Frame
related,"['related', 'bear_on', 'pertain', 'associate', 'colligate', 'interrelate', 'come_to', 'connect', 'concern', 'link', 'relate', 'link_up', 'touch_on', 'have-to_doe_with', 'touch', 'tie_in', 'related_to', 'refer']",How to design your Interlocking Frame
exactly,"['incisively', 'exactly', 'just', 'on_the_button', 'on_the_dot', 'on_the_nose', 'precisely']",How to design your Interlocking Frame
prototype,"['paradigm', 'epitome', 'prototype', 'image']",How to design your Interlocking Frame
may,"['May', 'Crataegus_laevigata', 'English_hawthorn', 'Crataegus_oxycantha', 'may', 'whitethorn']",How to design your Interlocking Frame
how,[],How to design your Interlocking Frame
drilled,"['practice', 'practise', 'drill', 'bore', 'drilled', 'exercise']",How to design your Interlocking Frame
47,"['forty-seven', 'xlvii', '47']",How to design your Interlocking Frame
indication,"['indicant', 'reading', 'denotation', 'meter_reading', 'indication']",How to design your Interlocking Frame
making,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'making', 'constitute', 'construct', 'cook', 'stool', 'devising', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'fashioning', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'qualification', 'realize', 'take_a_crap', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",How to design your Interlocking Frame
nuts,"['whacky', 'nut_case', 'crackers', 'junkie', 'around_the_bend', 'crackpot', 'testis', 'crank', 'nut', 'ball', 'barmy', 'nutty', 'wacky', 'nuts', 'kooky', 'bollock', 'cracked', 'freak', 'loopy', 'en', 'junky', 'addict', 'daft', 'Nut', 'loony', 'orchis', 'bonkers', 'testicle', 'bats', 'loco', 'balmy', 'haywire', 'batty', 'fruity', 'screwball', 'kookie', 'fruitcake', 'egg', 'buggy', 'ballock', 'dotty', 'round_the_bend']",How to design your Interlocking Frame
workshop,"['shop', 'workshop']",How to design your Interlocking Frame
track-signal,[],How to design your Interlocking Frame
removed,"['take_away', 'hit', 'polish_off', 'take_out', 'get_rid_of', 'off', 'remote', 'removed', 'move_out', 'bump_off', 'withdraw', 'slay', 'take', 'remove', 'dispatch', 'distant', 'absent', 'transfer', 'murder']",How to design your Interlocking Frame
dress,"['garb', 'groom', 'cut_back', 'frock', 'clothe', 'snip', 'coif', 'clip', 'clothes', 'trim', 'dress_out', 'attire', 'tog', 'dress_up', 'full-dress', 'lop', 'set', 'do', 'crop', 'fit_out', 'prune', 'enclothe', 'dress', 'curry', 'habilitate', 'decorate', 'garment', 'wearing_apparel', 'coiffe', 'line_up', 'arrange', 'get_dressed', 'raiment', 'coiffure', 'primp', 'preen', 'plume', 'apparel', 'garnish']",How to design your Interlocking Frame
block,"['stuff', 'stoppage', 'choke_up', 'obturate', 'deflect', 'closure', 'stop', 'hinder', 'pulley', 'occlusion', 'blockage', 'lug', 'immobilise', 'mental_block', 'blockade', 'kibosh', 'embarrass', 'block_off', 'immobilize', 'block', 'obstruct', 'stymy', 'pulley_block', 'parry', 'cylinder_block', 'draw_a_blank', 'stymie', 'occlude', 'barricade', 'impede', 'cube', 'forget', 'close_up', 'freeze', 'pulley-block', 'blocking', 'engine_block', 'city_block', 'jam', 'block_up', 'halt', 'auction_block', 'blank_out', 'bar']",How to design your Interlocking Frame
across,"['crossways', 'crosswise', 'across']",How to design your Interlocking Frame
each,"['to_each_one', 'each', 'for_each_one', 'apiece', 'from_each_one']",How to design your Interlocking Frame
only,"['solitary', 'entirely', 'simply', 'merely', 'only', 'only_if', 'alone', 'lonesome', 'exclusively', 'just', 'solely', 'but', 'only_when', 'lone', 'sole']",How to design your Interlocking Frame
points,"['target', 'place', 'signal', 'tip', 'sharpen', 'stop', 'point_in_time', 'stage', 'aim', 'luff', 'compass_point', 'pointedness', 'betoken', 'indicate', 'breaker_point', 'channelise', 'bespeak', 'guide', 'maneuver', 'period', 'head', 'manoeuver', 'charge', 'decimal_point', 'manoeuvre', 'repoint', 'item', 'gunpoint', 'steer', 'direct', 'point', 'dot', 'power_point', 'distributor_point', 'level', 'designate', 'show', 'degree', 'detail', 'channelize', 'full_stop', 'spot', 'orient', 'taper', 'full_point', 'peak', 'percentage_point']",How to design your Interlocking Frame
Barrette,['barrette'],How to design your Interlocking Frame
train,"['trail', 'groom', 'condition', 'aim', 'gearing', 'civilise', 'power_train', 'coach', 'gear', 'school', 'take_aim', 'caravan', 'wagon_train', 'educate', 'develop', 'civilize', 'direct', 'discipline', 'train', 'check', 'geartrain', 'string', 'cultivate', 'rail', 'take', 'railroad_train', 'prepare']",How to design your Interlocking Frame
Number,"['number', 'total', 'telephone_number', 'identification_number', 'list', 'figure', 'issue', 'numerate', 'count', 'amount', 'keep_down', 'add_up', 'phone_number', 'enumerate', 'act', 'bit', 'come', 'routine', 'turn', 'numeral']",How to design your Interlocking Frame
Scribe,"['scribe', 'scratch_awl', 'penman', 'scriber', 'Augustin_Eugene_Scribe', 'copyist', 'Scribe', 'scrivener', 'scribbler']",How to design your Interlocking Frame
