w,vector_semantico
number,"['phone_number', 'number', 'issue', 'routine', 'telephone_number', 'count', 'add_up', 'total', 'enumerate', 'come', 'bit', 'keep_down', 'identification_number', 'turn', 'act', 'numeral', 'figure', 'list', 'amount', 'numerate']"
expect,"['have_a_bun_in_the_oven', 'gestate', 'wait', 'anticipate', 'carry', 'await', 'require', 'bear', 'expect', 'ask', 'look']"
where,[]
concern,"['bear_on', 'pertain', 'have-to_doe_with', 'business', 'refer', 'headache', 'come_to', 'interest', 'concern', 'occupy', 'touch_on', 'business_concern', 'care', 'vexation', 'business_organization', 'fear', 'relate', 'touch', 'worry', 'business_organisation']"
duty,"['duty', 'obligation', 'responsibility', 'tariff']"
enterprises,"['initiative', 'enterprise', 'go-ahead', 'endeavor', 'endeavour', 'enterprisingness']"
ways,"['elbow_room', 'agency', 'style', 'slipway', 'way', 'way_of_life', 'room', 'ways', 'mode', 'fashion', 'path', 'direction', 'means', 'manner', 'shipway']"
cannot,[]
dearly,"['in_a_heartfelt_way', 'dear', 'dearly', 'affectionately']"
reference,"['cite', 'denotation', 'consultation', 'extension', 'citation', 'book_of_facts', 'character_reference', 'point_of_reference', 'credit', 'reference', 'acknowledgment', 'reference_book', 'quotation', 'source', 'computer_address', 'reference_work', 'mention', 'character', 'reference_point', 'address']"
takes,"['drive', 'have', 'conduct', 'lead', 'withdraw', 'contain', 'select', 'postulate', 'issue', 'submit', 'take_up', 'occupy', 'admit', 'call_for', 'ingest', 'read', 'proceeds', 'strike', 'exact', 'rent', 'necessitate', 'shoot', 'require', 'remove', 'consume', 'get', 'pick_out', 'aim', 'ask', 'choose', 'guide', 'contract', 'direct', 'take', 'yield', 'adopt', 'take_on', 'acquire', 'subscribe', 'take_aim', 'involve', 'train', 'hold', 'use_up', 'deal', 'demand', 'takings', 'carry', 'pack', 'study', 'get_hold_of', 'return', 'bring', 'assume', 'learn', 'claim', 'make', 'lease', 'convey', 'need', 'payoff', 'look_at', 'consider', 'subscribe_to', 'accept', 'take_away', 'fill', 'take_in', 'engage', 'film', 'hire', 'charter']"
Iraq,"['Irak', 'Iraq', 'Al-Iraq', 'Republic_of_Iraq']"
utilization,"['usage', 'employment', 'utilisation', 'utilization', 'use', 'exercise']"
middle,"['in-between', 'eye', 'middle', 'centre', 'heart', 'mediate', 'center', 'midriff', 'midway', 'halfway', 'midsection']"
understand,"['realize', 'translate', 'empathize', 'see', 'read', 'infer', 'realise', 'interpret', 'sympathize', 'understand', 'sympathise', 'empathise']"
often,"['a_great_deal', 'frequently', 'oft', 'ofttimes', 'oftentimes', 'much', 'often']"
proceeding,"['continue', 'go', 'proceedings', 'carry_on', 'go_on', 'proceed', 'go_forward', 'legal_proceeding', 'go_along', 'move', 'proceeding', 'keep']"
purpose,"['intention', 'resolve', 'role', 'purport', 'design', 'use', 'propose', 'determination', 'function', 'aim', 'intent', 'purpose']"
destroy,"['destroy', 'destruct', 'put_down', 'ruin', 'demolish']"
Development,"['maturation', 'development', 'ontogeny', 'developing', 'ontogenesis', 'evolution', 'growing', 'exploitation', 'growth']"
role,"['role', 'persona', 'use', 'part', 'character', 'function', 'office', 'purpose', 'theatrical_role']"
labor,"['drive', 'Department_of_Labor', 'trade_union_movement', 'confinement', 'push', 'project', 'lying-in', 'travail', 'labor_movement', 'tug', 'dig', 'Labour', 'drudge', 'toil', 'Labor_Department', 'British_Labour_Party', 'grind', 'DoL', 'working_class', 'Labour_Party', 'task', 'proletariat', 'labor', 'moil', 'Labor', 'fag', 'parturiency', 'labour', 'childbed', 'undertaking']"
genuine,"['unfeigned', 'literal', 'real', 'genuine', 'true', 'actual', 'echt']"
processes,"['physical_process', 'cognitive_process', 'swear_out', 'mental_process', 'summons', 'march', 'serve', 'work_on', 'appendage', 'outgrowth', 'work', 'sue', 'action', 'treat', 'unconscious_process', 'procedure', 'litigate', 'operation', 'cognitive_operation', 'process']"
plan,"['programme', 'architectural_plan', 'design', 'plan', 'contrive', 'program', 'project', 'be_after']"
large,"['tumid', 'prominent', 'expectant', 'gravid', 'heavy', 'large', 'magnanimous', 'bombastic', 'vauntingly', 'orotund', 'turgid', 'boastfully', 'with_child', 'enceinte', 'declamatory', 'big', 'great']"
pertains,"['bear_on', 'concern', 'touch', 'appertain', 'pertain', 'touch_on', 'have-to_doe_with', 'refer', 'come_to', 'relate']"
friendly,"['well-disposed', 'friendly', 'favorable']"
clear,"['sack_up', 'crystalise', 'crystallise', 'assoil', 'clean-cut', 'straighten_out', 'light', 'realise', 'well-defined', 'net', 'clear_up', 'clearly', 'discharge', 'clean', 'absolved', 'earn', 'pass', 'shed_light_on', 'unmortgaged', 'unclutter', 'percipient', 'exonerated', 'open', 'unclouded', 'vindicated', 'sort_out', 'illuminate', 'sack', 'brighten', 'authorise', 'gain', 'clear-cut', 'solve', 'pull_in', 'readable', 'enlighten', 'light_up', 'bring_in', 'top', 'decipherable', 'cleared', 'exculpated', 'acquit', 'realize', 'make', 'exonerate', 'exculpate', 'crystallize', 'elucidate', 'all_the_way', 'clear', 'take_in', 'authorize', 'crystalize']"
centralized,"['centralised', 'centralise', 'concentrate', 'centralize', 'centralized']"
attitudes,"['attitude', 'posture', 'position', 'mental_attitude']"
government,"['authorities', 'administration', 'political_science', 'government', 'government_activity', 'regime', 'governance', 'politics', 'governing']"
rigid,"['strict', 'set', 'stiff', 'rigid', 'inflexible', 'fixed', 'unbending']"
respond,"['react', 'respond', 'reply', 'answer']"
American,"['American_English', 'American', 'American_language']"
underline,"['emphasise', 'underscore', 'underline', 'emphasize']"
wider,"['all-inclusive', 'all-encompassing', 'extensive', 'broad', 'wide-eyed', 'all-embracing', 'wide_of_the_mark', 'encompassing', 'blanket', 'panoptic', 'spacious', 'across-the-board', 'wide-cut', 'full', 'wide']"
of,[]
employed,"['apply', 'employ', 'use', 'utilize', 'engage', 'hire', 'employed', 'utilise']"
should,[]
needs,"['motive', 'postulate', 'indigence', 'needs', 'pauperization', 'pauperism', 'call_for', 'necessitate', 'motivation', 'require', 'of_necessity', 'ask', 'take', 'inevitably', 'involve', 'demand', 'penury', 'want', 'need', 'necessarily']"
fact,['fact']
each,"['for_each_one', 'apiece', 'to_each_one', 'each', 'from_each_one']"
remain,"['stay_on', 'continue', 'rest', 'stay', 'persist', 'remain']"
already,['already']
share,"['apportion', 'percentage', 'portion', 'portion_out', 'part', 'share', 'parcel', 'plowshare', 'ploughshare', 'divvy_up', 'contribution', 'deal', 'partake', 'partake_in']"
around,"['or_so', 'close_to', 'about', 'more_or_less', 'round', 'just_about', 'around', 'roughly', 'approximately', 'some']"
certain,"['sure', 'certain', 'sealed']"
established,"['ground', 'install', 'constituted', 'prove', 'base', 'launch', 'establish', 'constitute', 'found', 'conventional', 'give', 'established', 'plant', 'accomplished', 'lay_down', 'show', 'shew', 'demonstrate', 'build', 'institute', 'make', 'instal', 'effected', 'set_up', 'naturalized']"
Thus,"['thus', 'thusly', 'gum_olibanum', 'therefore', 'so', 'olibanum', 'thence', 'frankincense', 'hence']"
suggested,"['intimate', 'indicate', 'suggest', 'evoke', 'propose', 'paint_a_picture', 'advise', 'hint']"
we,[]
manner,"['style', 'way', 'mode', 'fashion', 'personal_manner', 'manner']"
emphasized,"['accentuate', 'underline', 'emphasize', 'emphasized', 'emphasise', 'emphasised', 'accent', 'punctuate', 'emphatic', 'stress', 'underscore']"
periods,"['menstruum', 'period_of_time', 'time_period', 'full_stop', 'menstruation', 'point', 'stop', 'full_point', 'menses', 'catamenia', 'geological_period', 'flow', 'period']"
depends,"['reckon', 'bet', 'calculate', 'depend', 'count', 'look']"
modernizing,"['modernize', 'modernise', 'develop', 'overhaul']"
requirements,"['requisite', 'necessity', 'prerequisite', 'necessary', 'essential', 'demand', 'requirement']"
more,"['Thomas_More', 'More', 'more', 'to_a_greater_extent', 'more_than', 'Sir_Thomas_More']"
various,"['assorted', 'versatile', 'respective', 'diverse', 'various', 'several']"
inflexible,"['sturdy', 'rigid', 'inflexible', 'uncompromising', 'unbending']"
scene,"['picture', 'tantrum', 'shot', 'prospect', 'panorama', 'view', 'setting', 'aspect', 'fit', 'conniption', 'scene', 'scenery', 'vista']"
exceed,"['overstep', 'pass', 'outgo', 'outperform', 'outstrip', 'transcend', 'top', 'surmount', 'go_past', 'outdo', 'surpass', 'exceed', 'outmatch']"
yet,"['still', 'hitherto', 'until_now', 'nevertheless', 'notwithstanding', 'however', 'til_now', 'heretofore', 'nonetheless', 'even_so', 'thus_far', 'even', 'yet', 'so_far', 'withal', 'in_time', 'all_the_same', 'up_to_now', 'as_yet']"
waters,"['waters', 'amniotic_fluid', 'body_of_water', 'water_system', 'water_supply', 'H2O', 'piss', 'urine', 'weewee', 'irrigate', 'Waters', 'amnionic_fluid', 'water', 'Ethel_Waters', 'pee', 'piddle']"
assume,"['take_for_granted', 'simulate', 'take_up', 'seize', 'strike', 'arrogate', 'get_into', 'presume', 'adopt', 'take', 'take_on', 'acquire', 'bear', 'wear', 'sham', 'take_over', 'feign', 'put_on', 'assume', 'usurp', 'accept', 'don']"
all,"['completely', 'all', 'totally', 'whole', 'altogether', 'wholly', 'entirely']"
productivity,"['productivity', 'productiveness']"
generally,"['by_and_large', 'in_general', 'broadly', 'generally', 'loosely', 'mostly', 'broadly_speaking', 'in_the_main', 'more_often_than_not']"
characterize,"['qualify', 'characterise', 'characterize']"
appraisals,"['estimate', 'appraisal', 'assessment', 'estimation']"
earlier,"['sooner', 'to_begin_with', 'originally', 'early', 'earliest', 'other', 'earlier', 'in_the_first_place', 'former', 'before', 'in_the_beginning']"
life,"['sprightliness', 'lifetime', 'life-time', 'lifespan', 'living', 'life_story', 'animation', 'life_history', 'spirit', 'life', 'biography', 'life_sentence', 'liveliness', 'aliveness']"
too,"['also', 'besides', 'excessively', 'likewise', 'as_well', 'overly', 'too', 'to_a_fault']"
highest,"['high', 'in_high_spirits', 'gamey', 'high-pitched', 'eminent', 'gamy', 'mellow']"
matters,"['matter', 'topic', 'weigh', 'thing', 'affair', 'issue', 'count', 'subject']"
continue,"['stay_on', 'continue', 'bear_on', 'preserve', 'retain', 'stay', 'carry_on', 'persist_in', 'remain', 'go_on', 'proceed', 'keep_on', 'cover', 'extend', 'go_along', 'go_forward', 'keep', 'uphold']"
nerve,"['boldness', 'nervus', 'nerve', 'steel', 'heart', 'cheek', 'brass', 'spunk', 'face', 'mettle']"
communicating,"['pass_along', 'pass_on', 'pass', 'communicating', 'convey', 'commune', 'intercommunicate', 'transmit', 'communication', 'put_across', 'communicate']"
place,"['position', 'order', 'place', 'stead', 'berth', 'spot', 'post', 'situation', 'locate', 'pose', 'target', 'rate', 'lieu', 'localise', 'home', 'rank', 'send', 'billet', 'range', 'identify', 'office', 'aim', 'localize', 'come_out', 'set', 'direct', 'property', 'shoes', 'come_in', 'plaza', 'site', 'topographic_point', 'lay', 'blank_space', 'station', 'put', 'point', 'space', 'seat', 'piazza', 'grade', 'invest', 'commit']"
Above,"['to_a_higher_place', 'above', 'higher_up', 'in_a_higher_place', 'supra']"
benefits,"['profit', 'welfare', 'gain', 'benefit', 'do_good']"
Isolated,"['stranded', 'isolated', 'sequestrate', 'isolate', 'stray', 'obscure', 'disjunct', 'keep_apart', 'detached', 'insulate', 'sequester', 'set_apart', 'marooned', 'quarantined', 'apart', 'separated', 'set-apart']"
announced,"['declare', 'announced', 'annunciate', 'denote', 'herald', 'announce', 'proclaimed', 'harbinger', 'foretell']"
push,"['drive', 'bear_on', 'press', 'push_button', 'force', 'button', 'campaign', 'crusade', 'thrust', 'push', 'advertize', 'crowd', 'tug', 'promote', 'agitate', 'get-up-and-go', 'energy', 'advertise', 'fight', 'pushing', 'labor', 'labour']"
national,"['internal', 'home', 'subject', 'national', 'interior']"
war,"['state_of_war', 'warfare', 'war']"
difficult,"['difficult', 'unmanageable', 'hard']"
slightest,"['slight', 'fragile', 'flimsy', 'thin', 'tenuous', 'slender', 'slim', 'little', 'svelte']"
derive,"['deduct', 'derive', 'gain', 'educe', 'descend', 'infer', 'deduce', 'come']"
unity,"['one', '1', 'unity', 'integrity', 'I', 'single', 'wholeness', 'ace', 'oneness']"
participation,"['engagement', 'involution', 'participation', 'involvement']"
special,"['exceptional', 'particular', 'special', 'limited', 'extra', 'peculiar', 'especial']"
genuinely,"['genuinely', 'truly', 'authentically', 'really']"
responsible,"['responsible_for', 'responsible', 'creditworthy']"
major,"['John_R._Major', 'John_Roy_Major', 'John_Major', 'Major', 'major']"
permit,"['tolerate', 'license', 'permission', 'allow', 'licence', 'Trachinotus_falcatus', 'permit', 'let', 'countenance']"
volume,"['intensity', 'bulk', 'book', 'mass', 'loudness', 'volume']"
choose,"['opt', 'take', 'select', 'prefer', 'pick_out', 'choose']"
call,"['predict', 'Call', 'holler', 'vociferation', 'forebode', 'cry', 'song', 'call_in', 'foretell', 'phone_call', 'margin_call', 'yell', 'visit', 'promise', 'call_option', 'call_off', 'outcry', 'call', 'anticipate', 'telephone_call', 'prognosticate', 'phone', 'telephone', 'scream', 'birdcall', 'bid', 'claim', 'name', 'shout_out', 'squall', 'call_up', 'ring', 'send_for', 'birdsong', 'hollo', 'shout', 'address']"
education,"['pedagogy', 'teaching', 'educational_activity', 'Education_Department', 'didactics', 'training', 'Education', 'Department_of_Education', 'breeding', 'instruction', 'education']"
long-term,"['long-term', 'semipermanent', 'long-run']"
basis,"['groundwork', 'fundament', 'ground', 'cornerstone', 'basis', 'base', 'foundation', 'footing']"
competently,"['aptly', 'competently', 'ably', 'capably']"
larger,"['tumid', 'prominent', 'expectant', 'gravid', 'heavy', 'large', 'magnanimous', 'bombastic', 'larger', 'orotund', 'turgid', 'with_child', 'enceinte', 'declamatory', 'big', 'bigger', 'great']"
reasonably,"['sanely', 'jolly', 'moderately', 'reasonably', 'somewhat', 'pretty', 'sensibly', 'fairly', 'passably', 'middling']"
old,"['honest-to-goodness', 'quondam', 'erstwhile', 'one-time', 'sure-enough', 'previous', 'honest-to-god', 'Old', 'old', 'onetime', 'older', 'sometime', 'former']"
perpetuate,['perpetuate']
find,"['recover', 'find_oneself', 'line_up', 'regain', 'rule', 'detect', 'ascertain', 'determine', 'notice', 'get_hold', 'uncovering', 'encounter', 'chance', 'feel', 'get', 'come_up', 'see', 'find_out', 'discover', 'breakthrough', 'obtain', 'find', 'witness', 'observe', 'retrieve', 'incur', 'discovery', 'bump', 'happen', 'receive']"
planners,"['contriver', 'deviser', 'planner']"
nation,"['commonwealth', 'Nation', 'body_politic', 'res_publica', 'Carry_Amelia_Moore_Nation', 'country', 'state', 'land', 'Carry_Nation', 'nation']"
demand,"['take', 'call_for', 'need', 'exact', 'necessitate', 'involve', 'postulate', 'require', 'demand', 'ask', 'requirement']"
inhibitions,"['inhibition', 'forbiddance', 'prohibition', 'suppression']"
later,"['subsequently', 'late', 'recent', 'tardy', 'belated', 'later', 'previous', 'afterwards', 'after', 'afterward', 'former', 'posterior', 'ulterior', 'by_and_by', 'later_on']"
Convinced,"['convince', 'win_over', 'confident', 'convinced', 'positive', 'convert']"
seeking,"['assay', 'seeking', 'look_for', 'attempt', 'essay', 'seek', 'search', 'quest', 'try']"
has,"['have', 'own', 'deliver', 'cause', 'throw', 'let', 'give_birth', 'birth', 'ingest', 'experience', 'consume', 'give', 'sustain', 'get', 'stimulate', 'HA', 'hour_angle', 'take', 'have_got', 'hold', 'feature', 'bear', 'make', 'induce', 'accept', 'possess', 'take_in', 'suffer', 'receive']"
covering,"['continue', 'enshroud', 'masking', 'spread_over', 'hide', 'wrap_up', 'brood', 'insure', 'embrace', 'track', 'report', 'underwrite', 'cover_up', 'cross', 'screening', 'get_over', 'extend', 'shroud', 'coating', 'traverse', 'cut_through', 'cut_across', 'overlay', 'compensate', 'comprehend', 'breed', 'natural_covering', 'get_across', 'overcompensate', 'deal', 'plow', 'encompass', 'treat', 'hatch', 'incubate', 'pass_over', 'application', 'covering', 'cover', 'handle', 'address']"
inducing,"['have', 'induct', 'inducement', 'bring_on', 'make', 'induce', 'hasten', 'inducing', 'rush', 'cause', 'get', 'stimulate']"
display,"['expose', 'exhibit', 'show', 'video_display', 'display', 'presentation', 'showing']"
coordinated,"['co-ordinated', 'align', 'organize', 'coordinated', 'interconnected', 'unified', 'organise', 'matching', 'coordinate', 'ordinate']"
surpluses,"['surplus', 'excess', 'surplusage', 'nimiety']"
levels,"['charge', 'rase', 'level', 'level_off', 'take_down', 'storey', 'floor', 'horizontal_surface', 'stage', 'dismantle', 'degree', 'even_out', 'story', 'pull_down', 'stratum', 'spirit_level', 'layer', 'even', 'tear_down', 'raze', 'flush', 'point', 'tier', 'grade']"
by,"['away', 'past', 'by', 'aside']"
afford,"['afford', 'open', 'give', 'yield']"
concerted,"['conjunct', 'cooperative', 'concert', 'conjunctive', 'concerted']"
live,"['bouncy', 'dwell', 'lively', 'subsist', 'alive', 'survive', 'experience', 'hot', 'live_on', 'springy', 'be', 'hold_out', 'resilient', 'endure', 'go', 'inhabit', 'exist', 'know', 'last', 'hold_up', 'unrecorded', 'populate', 'live']"
pluralistic,['pluralistic']
constantly,"['constantly', 'forever', 'incessantly', 'always', 'invariably', 'perpetually']"
the,[]
not,"['non', 'not']"
respect,"['deference', 'respectfulness', 'honor', 'obedience', 'respect', 'abide_by', 'esteem', 'honour', 'regard', 'value', 'prize', 'observe', 'prise']"
Philippines,"['Republic_of_the_Philippines', 'Philippines', 'Filipino', 'Philippine', 'Philippine_Islands']"
balanced,"['equilibrate', 'equilibrise', 'balanced', 'balance', 'poise', 'equilibrize']"
carried,"['conduct', 'comport', 'post', 'contain', 'deport', 'expect', 'stock', 'dribble', 'impart', 'transmit', 'extend', 'transport', 'run', 'take', 'gestate', 'persuade', 'hold', 'bear', 'pack', 'carry', 'acquit', 'stockpile', 'sway', 'convey', 'behave', 'channel', 'have_a_bun_in_the_oven', 'express']"
recognized,"['agnize', 'spot', 'realise', 'make_out', 'recognized', 'recognize', 'distinguish', 'acknowledge', 'recognised', 'discern', 'agnise', 'pick_out', 'know', 'realize', 'recognise', 'accredit', 'tell_apart', 'accepted', 'greet']"
frank,"['wiener', 'free-spoken', 'weenie', 'plainspoken', 'forthright', 'Frank', 'frankfurter', 'wienerwurst', 'hot_dog', 'hotdog', 'blunt', 'point-blank', 'frank', 'candid', 'postmark', 'outspoken', 'straight-from-the-shoulder', 'dog']"
years,"['year', 'class', 'age', 'eld', 'years', 'twelvemonth', 'days', 'old_age', 'geezerhood', 'yr', 'long_time']"
central,"['primal', 'telephone_exchange', 'key', 'central', 'exchange', 'fundamental', 'cardinal']"
tenancy,"['occupancy', 'tenancy']"
several,"['respective', 'several', 'various']"
encounter,"['skirmish', 'run_across', 'confrontation', 'brush', 'clash', 'face-off', 'play', 'encounter', 'chance', 'run_into', 'coming_upon', 'showdown', 'come_across', 'see', 'take_on', 'meeting', 'find', 'meet', 'bump', 'happen', 'receive']"
emphasis,"['vehemence', 'stress', 'emphasis', 'accent']"
appraise,"['valuate', 'survey', 'appraise', 'evaluate', 'value', 'measure', 'assess']"
either,['either']
effort,"['drive', 'travail', 'try', 'exertion', 'attempt', 'exploit', 'cause', 'elbow_grease', 'effort', 'feat', 'endeavor', 'campaign', 'crusade', 'endeavour', 'sweat', 'movement']"
single,"['one', '1', 'unity', 'bingle', 'I', 'undivided', 'single', 'exclusive', 'unmarried', 'individual', 'ace']"
do,"['ut', 'practise', 'doh', 'make_out', 'cause', 'coiffure', 'dress', 'coiffe', 'fare', 'answer', 'serve', 'Doctor_of_Osteopathy', 'execute', 'do', 'come', 'arrange', 'set', 'perform', 'DO', 'bash', 'exercise', 'get_along', 'suffice', 'act', 'make', 'coif', 'manage', 'brawl', 'behave', 'practice']"
conditions,"['atmospheric_condition', 'status', 'consideration', 'stipulation', 'qualify', 'circumstance', 'conditions', 'shape', 'discipline', 'train', 'weather_condition', 'stipulate', 'check', 'weather', 'condition', 'precondition', 'term', 'specify', 'experimental_condition']"
merely,"['but', 'simply', 'just', 'merely', 'only']"
psychological,['psychological']
attempt,"['assay', 'set_about', 'try', 'attempt', 'attack', 'essay', 'undertake', 'seek', 'effort', 'endeavor', 'endeavour']"
growth,"['maturation', 'emergence', 'increase', 'increment', 'development', 'ontogeny', 'ontogenesis', 'growing', 'outgrowth', 'growth']"
such,['such']
difficulties,"['trouble', 'difficultness', 'difficulty']"
divisive,"['dissentious', 'divisive', 'factious']"
readiness,"['zeal', 'set', 'preparation', 'readiness', 'forwardness', 'facility', 'eagerness', 'preparedness']"
subjects,"['subjugate', 'subject_field', 'issue', 'submit', 'national', 'subject_area', 'subject', 'bailiwick', 'depicted_object', 'field_of_study', 'matter', 'topic', 'theme', 'field', 'discipline', 'guinea_pig', 'study', 'content', 'case']"
Progress,"['advance', 'progress', 'onward_motion', 'get_on', 'build_up', 'pass_on', 'move_on', 'come_on', 'forward_motion', 'march_on', 'come_along', 'go_on', 'shape_up', 'build', 'get_along', 'work_up', 'advancement', 'progression', 'procession']"
advantages,"['reward', 'vantage', 'advantage']"
Civil,"['civic', 'civil', 'polite']"
deal,"['lot', 'conduct', 'mint', 'quite_a_little', 'great_deal', 'make_out', 'allot', 'softwood', 'muckle', 'divvy_up', 'make_do', 'apportion', 'parcel_out', 'pile', 'slew', 'spate', 'hand', 'bargain', 'trade', 'hatful', 'peck', 'portion_out', 'share', 'administer', 'flock', 'contend', 'mete_out', 'raft', 'care', 'plenty', 'dispense', 'cope', 'take', 'mickle', 'address', 'mess', 'shell_out', 'distribute', 'business_deal', 'passel', 'dish_out', 'deal', 'plow', 'treat', 'get_by', 'batch', 'deal_out', 'dole_out', 'sight', 'look_at', 'grapple', 'consider', 'carry_on', 'tidy_sum', 'good_deal', 'manage', 'mass', 'cover', 'pot', 'mountain', 'wad', 'handle', 'stack', 'sell', 'heap']"
but,"['but', 'simply', 'just', 'merely', 'only']"
enthusiasm,"['enthusiasm', 'exuberance', 'ebullience']"
reforms,"['reclaim', 'rectify', 'regenerate', 'reform', 'straighten_out', 'see_the_light']"
acceptance,"[""banker's_acceptance"", 'credence', 'acceptance', 'acceptation', 'toleration', 'sufferance', 'espousal', 'adoption']"
imposed,"['enforce', 'imposed', 'visit', 'levy', 'inflict', 'bring_down', 'impose']"
mobilized,"['call_up', 'mobilize', 'mobilise', 'rally', 'marshal', 'circulate', 'summon']"
These,[]
varying,"['deviate', 'variegate', 'change', 'motley', 'alter', 'depart', 'diverge', 'vary', 'variable', 'varying']"
tackle,"['rig', 'harness', 'fishing_rig', 'undertake', 'take_on', 'fishing_tackle', 'tackle', 'rigging', 'fishing_gear']"
are,"['represent', 'make_up', 'cost', 'constitute', 'equal', 'ar', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live', 'are']"
appropriate,"['seize', 'appropriate', 'capture', 'set_aside', 'reserve', 'allow', 'earmark', 'conquer']"
system,"['system', 'scheme', 'arrangement', 'organisation', 'system_of_rules', 'organization']"
automatically,"['automatically', 'mechanically']"
country,"['commonwealth', 'body_politic', 'res_publica', 'country', 'state', 'rural_area', 'area', 'land', 'nation']"
horizon,"['visible_horizon', 'skyline', 'celestial_horizon', 'sensible_horizon', 'horizon', 'apparent_horizon', 'view', 'purview']"
drawn,"['delineate', 'cast', 'careworn', 'force', 'withdraw', 'pull_back', 'drawn', 'thread', 'imbibe', 'draw', 'take_up', 'suck_up', 'describe', 'trace', 'tie', 'haggard', 'pull', 'pass', 'run', 'get', 'take_out', 'quarter', 'pull_out', 'get_out', 'drag', 'absorb', 'guide', 'sop_up', 'eviscerate', 'line', 'reap', 'pull_in', 'draw_and_quarter', 'puff', 'draw_off', 'disembowel', 'soak_up', 'suck', 'make', 'raddled', 'depict', 'string', 'take_in', 'attract', 'draw_in', 'worn']"
agriculture,"['agribusiness', 'Agriculture', 'USDA', 'Agriculture_Department', 'factory_farm', 'farming', 'Department_of_Agriculture', 'agriculture', 'husbandry']"
irresponsible,['irresponsible']
tentative,"['probationary', 'provisionary', 'tentative', 'provisional', 'doubtful']"
characterized,"['qualify', 'characterise', 'characterize']"
adequate,"['tolerable', 'enough', 'equal', 'adequate', 'fair_to_middling', 'passable', 'decent']"
effectively,"['efficaciously', 'effectively', 'in_effect']"
count,"['reckon', 'numeration', 'bet', 'calculate', 'matter', 'weigh', 'enumerate', 'consider', 'enumeration', 'tally', 'number', 'numerate', 'depend', 'count', 'counting', 'reckoning', 'look']"
Capital,"['majuscule', 'great', 'upper-case_letter', 'chapiter', 'Das_Kapital', 'Washington', 'working_capital', 'cap', 'capital', 'capital_letter', 'uppercase', 'Capital']"
assistance,"['help', 'aid', 'assistance', 'assist']"
administrative,['administrative']
rely,"['rely', 'bank', 'swear', 'trust']"
They,[]
looks,"['spirit', 'take_care', 'expect', 'count', 'flavor', 'calculate', 'tone', 'feel', 'search', 'seem', 'face', 'facial_expression', 'bet', 'wait', 'attend', 'see', 'looking', 'await', 'depend', 'aspect', 'feeling', 'appear', 'smell', 'look', 'reckon', 'looking_at', 'flavour', 'front', 'expression']"
greatest,"['corking', 'superlative', 'heavy', 'neat', 'dandy', 'bully', 'great', 'groovy', 'gravid', 'greatest', 'smashing', 'with_child', 'capital', 'majuscule', 'expectant', 'swell', 'not_bad', 'bang-up', 'enceinte', 'outstanding', 'slap-up', 'large', 'cracking', 'keen', 'sterling', 'nifty', 'big', 'peachy']"
sympathy,"['fellow_feeling', 'understanding', 'sympathy']"
at,"['At', 'astatine', 'at', 'atomic_number_85']"
confusion,"['mix-up', 'mental_confusion', 'disarray', 'confusion', 'muddiness', 'discombobulation', 'confusedness']"
were,"['represent', 'make_up', 'cost', 'constitute', 'equal', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live']"
be,"['represent', 'make_up', 'glucinium', 'atomic_number_4', 'cost', 'Be', 'beryllium', 'constitute', 'equal', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live']"
to,[]
program,"['programme', 'platform', 'computer_program', 'syllabus', 'plan', 'course_of_study', 'political_program', 'curriculum', 'broadcast', 'computer_programme', 'program', 'political_platform']"
some,"['or_so', 'close_to', 'about', 'more_or_less', 'just_about', 'around', 'roughly', 'approximately', 'some']"
sources,"['informant', 'beginning', 'origin', 'source', 'generator', 'reservoir', 'author', 'germ', 'root', 'reference', 'seed', 'rootage']"
simultaneously,"['at_the_same_time', 'simultaneously']"
disrupting,"['disrupt', 'break_up', 'cut_off', 'interrupt']"
work,"['exploit', 'play', 'wreak', 'puzzle_out', 'figure_out', 'make_for', 'employment', 'put_to_work', 'work_out', 'work_on', 'process', 'operate', 'piece_of_work', 'run', 'influence', 'form', 'work', 'oeuvre', 'act_upon', 'solve', 'shape', 'body_of_work', 'ferment', 'lick', 'turn', 'go', 'exercise', 'study', 'act', 'bring', 'mold', 'forge', 'make', 'mould', 'knead', 'function', 'workplace', 'sour', 'crop', 'cultivate', 'do_work']"
reform,"['reclaim', 'rectify', 'regenerate', 'reform', 'straighten_out', 'see_the_light']"
credits,"['recognition', 'citation', 'cite', 'quotation', 'mention', 'credits', 'course_credit', 'credit_rating', 'credit_entry', 'credit', 'accredit', 'reference', 'acknowledgment', 'deferred_payment']"
sphere,"['firmament', 'sector', 'field', 'sphere_of_influence', 'empyrean', 'sphere', 'heavens', 'area', 'domain', 'arena', 'welkin', 'celestial_sphere', 'orbit', 'vault_of_heaven']"
wisdom,"['soundness', 'Wisdom_of_Solomon', 'wiseness', 'Wisdom', 'wisdom', 'sapience']"
marginal,"['fringy', 'marginal', 'bare', 'borderline']"
widen,"['widen', 'broaden', 'let_out', 'extend']"
services,"['inspection_and_repair', 'Robert_William_Service', 'servicing', 'Service', 'table_service', 'help', 'avail', 'serve', 'religious_service', 'armed_service', 'service', 'overhaul', 'serving', 'service_of_process', 'divine_service', 'services', 'military_service']"
