w,vector_uso
deal,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0, 1, 6, 0, 1, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
but,"[22, 0, 15, 1, 18]"
enthusiasm,"[0, 0, 0]"
reforms,"[0, 0, 0, 0, 0, 0]"
acceptance,"[0, 0, 2, 0, 0, 0, 0, 0]"
imposed,"[0, 0, 0, 0, 0, 0, 0]"
mobilized,"[0, 1, 0, 1, 0, 0, 0]"
These,[]
varying,"[0, 0, 4, 0, 0, 0, 0, 2, 0, 2]"
tackle,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
are,"[1, 0, 0, 1, 1, 0, 0, 0, 2, 79, 1, 1, 0, 62]"
appropriate,"[0, 3, 0, 0, 0, 2, 0, 0]"
system,"[36, 1, 0, 0, 0, 2]"
automatically,"[0, 0]"
country,"[0, 0, 0, 1, 2, 0, 12, 1, 0]"
horizon,"[0, 0, 0, 0, 0, 0, 3, 0]"
drawn,"[0, 0, 0, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
agriculture,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
irresponsible,[0]
tentative,"[0, 0, 0, 0, 2]"
characterized,"[0, 0, 0]"
adequate,"[0, 4, 1, 0, 0, 0, 0]"
effectively,"[0, 5, 0]"
count,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 0, 0, 3, 0, 0, 0]"
Capital,"[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assistance,"[3, 4, 1, 0]"
administrative,[5]
rely,"[0, 0, 0, 0]"
They,[]
looks,"[1, 0, 1, 3, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 2, 2, 0, 0, 0, 4, 5, 2, 0, 0, 0, 0, 0, 1, 1]"
greatest,"[0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0]"
sympathy,"[0, 2, 0]"
at,"[3, 0, 33, 0]"
confusion,"[0, 0, 0, 1, 0, 0, 0]"
were,"[1, 0, 0, 1, 1, 0, 0, 2, 79, 1, 1, 0]"
be,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 79, 1, 1, 0]"
to,[]
program,"[0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 3, 0]"
some,"[0, 0, 16, 0, 0, 6, 0, 0, 43]"
sources,"[0, 8, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
simultaneously,"[0, 0]"
disrupting,"[0, 0, 0, 0]"
work,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 10, 1, 0, 1, 4, 2, 8, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 15, 2, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0, 0, 0]"
reform,"[0, 0, 0, 0, 0, 0]"
credits,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]"
sphere,"[0, 0, 5, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0]"
wisdom,"[0, 0, 0, 0, 0, 0]"
marginal,"[0, 6, 0, 0]"
widen,"[0, 0, 0, 2]"
services,"[0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 4, 0, 0, 0, 0, 12, 0]"
go,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0]"
countries,"[0, 0, 0, 1, 2, 0, 12, 1, 0]"
prepare,"[0, 0, 4, 4, 1, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0]"
middle-,[]
whose,[]
When,[]
very,"[0, 2, 2, 0, 0, 2]"
governments,"[1, 4, 0, 3, 0, 0, 0, 0, 2]"
fields,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0]"
principle,"[0, 0, 0, 1]"
powers,"[0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 3, 0, 0]"
obligation,"[2, 6, 0, 0, 0, 0]"
If,[]
affect,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0]"
it,"[0, 0]"
they,[]
direction,"[0, 0, 6, 5, 1, 0, 0, 3, 0, 0, 0, 3, 0, 7, 0, 0]"
basically,"[0, 0, 0]"
trademark,"[0, 0, 0, 0, 0, 0]"
still,"[0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
is,"[1, 0, 0, 1, 1, 0, 0, 2, 79, 1, 1, 0]"
potentialities,"[0, 0, 0, 0, 1]"
judgments,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1]"
The,[]
positive,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
making,"[46, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 2, 0, 3, 0, 8, 16, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
nationalism,"[0, 0]"
move,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0]"
programs,"[0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 3, 0]"
their,[]
great,"[0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0]"
destroyed,"[0, 0, 0, 0, 0, 0, 0]"
for,[]
free,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
discourage,"[0, 0, 0, 0, 0]"
people,"[0, 0, 0, 7, 0, 0, 0]"
interrelationships,"[0, 0, 0]"
economies,"[2, 0, 0, 0]"
long,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
reassured,"[0, 0, 0]"
ambitions,"[0, 0, 0, 0]"
face,"[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 8, 1, 1]"
tremendous,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2]"
most,"[2, 16, 5, 0, 0, 1, 0, 0, 19]"
financial,"[0, 1]"
past,"[3, 0, 0, 0, 0, 63, 0]"
meaningful,[3]
can,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
world,"[0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
structures,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
communities,"[0, 0, 0, 10, 0]"
It,"[0, 0]"
dual,"[1, 0, 0, 0, 1, 0, 0, 0]"
demonstrated,"[1, 0, 3, 0, 2, 0, 0, 0, 8, 1, 0, 1, 0, 0]"
indeed,"[16, 0]"
exist,"[1, 0, 79, 1, 0]"
launched,"[1, 6, 0, 0, 0, 0]"
than,[]
first,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0]"
less,"[0, 0, 0, 14]"
consequence,"[2, 0, 0, 1, 0, 0, 0, 1, 2, 0]"
need,"[0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
health,"[0, 2]"
rulers,"[0, 0, 0]"
Indian,"[0, 0, 0, 0, 2, 0, 0, 0]"
standards,"[0, 0, 2, 0, 0, 1]"
equate,"[0, 1, 0, 0, 0, 0, 0, 0]"
But,"[22, 0, 15, 1, 18]"
power,"[0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 3, 0, 0]"
career,"[0, 0, 0, 0]"
rural,[8]
goal,"[0, 4, 5, 0]"
honestly,"[0, 0, 0, 0]"
that,[]
hence,"[1, 2, 16, 0, 1]"
taken,"[0, 46, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 1, 0, 3, 15, 0, 0, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0]"
poor,"[1, 0, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0]"
promoting,"[2, 6, 0, 0, 2, 0, 6, 0, 0, 0, 1, 0]"
democratic,"[2, 0, 2]"
own,"[0, 46, 13, 2]"
payments,"[0, 0, 0, 0]"
National,"[1, 6, 1, 0, 0]"
reacting,"[0, 0, 0]"
classes,"[6, 35, 0, 0, 1, 0, 0, 17, 0, 0, 2, 6, 3, 25, 0, 0, 0, 0]"
status,"[16, 0, 1]"
There,"[0, 0, 0, 0, 34, 0]"
its,"[0, 0]"
example,"[1, 0, 14, 0, 0, 0, 0, 2, 0, 2, 0, 0]"
feel,"[0, 0, 14, 0, 0, 4, 0, 2, 1, 5, 0, 0, 0, 0]"
important,"[0, 0, 14, 1, 3]"
view,"[4, 1, 5, 0, 0, 0, 0, 3, 2, 2, 0, 4, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
within,"[27, 0]"
tasks,"[0, 1, 0, 0, 1, 0, 1]"
sorts,"[0, 35, 0, 0, 0, 2, 2, 6, 6, 0, 0, 0, 0]"
fates,"[1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
little,"[0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 9, 0, 2, 0]"
comprehensive,"[2, 0, 0]"
rationalize,"[0, 0, 0, 0, 0, 0, 0, 0]"
factor,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0]"
aid,"[1, 1, 0, 0, 3, 0, 0, 6, 4]"
must,"[0, 0, 15]"
erratically,"[0, 0]"
",",[]
future,"[0, 0, 0, 10, 0, 0, 1]"
third,"[0, 0, 0, 0, 1, 0, 0, 0]"
creative,"[0, 0]"
colleagues,"[0, 0, 0, 0, 0, 0]"
develop,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0]"
politically,[1]
threatened,"[0, 0, 0, 0, 0, 0, 1, 0]"
support,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 6, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
made,"[46, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 2, 0, 3, 0, 8, 16, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0]"
action,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]"
troubled,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
period,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4]"
cooperation,[0]
emerging,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
relates,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1]"
realize,"[0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 3, 2, 1, 0, 0]"
no,"[10, 0, 0, 0, 0]"
Actively,[1]
when,[]
increased,"[3, 0]"
condition,"[0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 0, 0, 0, 0]"
other,"[1, 5, 36]"
historic,"[0, 0]"
persists,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
creatively,[0]
on,"[5, 74]"
supply,"[7, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]"
drive,"[0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 1, 0, 1, 6, 0, 0, 0, 1, 0, 0]"
have,"[46, 13, 0, 1, 0, 0, 0, 7, 0, 14, 0, 3, 1, 8, 0, 0, 6, 0, 2, 1, 0, 4, 0, 0, 0, 2, 0, 0, 0]"
international,"[8, 0, 4, 0]"
may,"[0, 14, 0, 0, 0, 0]"
training,"[1, 0, 0, 2, 0, 0, 1, 0, 2, 0, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sense,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
Brazil,"[0, 0, 0, 0, 0]"
forward,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]"
justify,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
been,"[1, 0, 0, 1, 1, 0, 0, 2, 79, 1, 1, 0]"
legislative,[0]
recognize,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
prevented,"[1, 1, 0, 0, 0, 0]"
Foreign,"[0, 0, 0, 0]"
men's,"[0, 0]"
project,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 1, 4, 0, 0, 0, 0]"
leaders,"[0, 0, 0, 0, 0]"
strong,"[3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
States,"[0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
up,"[0, 0, 4, 0, 0, 0]"
our,[]
minimum,"[0, 0, 0]"
colonial,"[0, 1]"
assure,"[0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 6]"
fairly,"[0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 0]"
planning,"[2, 4, 2, 0, 0, 1, 1, 0]"
working,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 4, 2, 11, 1, 8, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0, 10]"
take,"[0, 46, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 1, 0, 3, 0, 15, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0]"
identity,"[0, 0, 2, 0, 0, 0, 0]"
framework,"[0, 0, 1, 4]"
considerable,[3]
committed,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0]"
into,[]
comparative,"[0, 0, 2]"
orderly,"[0, 0, 0]"
without,[]
increasingly,"[0, 0, 0]"
least,"[3, 0]"
nations,"[0, 0, 0, 0, 0, 1, 2, 1, 0, 0]"
hope,"[0, 1, 1, 0, 0, 0, 0, 0]"
grave,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
imports,"[0, 0, 0, 0, 6, 0, 0, 2, 0, 0]"
success,"[0, 0, 0, 2]"
commitments,"[0, 0, 0, 0, 0, 0, 0]"
impulses,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Service,"[0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0]"
required,"[1, 6, 0, 6, 0, 0, 3, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
big,"[1, 0, 0, 0, 2, 0, 21, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3]"
process,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 5, 0, 0, 3, 0, 1, 0, 10]"
needed,"[6, 0, 6, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0]"
self-sustaining,"[0, 0, 1]"
which,[]
assist,"[0, 1, 0, 1, 3, 2, 4, 0]"
account,"[4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
party,"[0, 0, 0]"
human,"[0, 4, 6, 0]"
with,[]
short,"[0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
maintaining,"[0, 0, 1, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
stages,"[0, 0, 6, 1, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0]"
interest,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1]"
.,[]
who,"[0, 0]"
realistically,[0]
from,[]
help,"[1, 0, 0, 1, 3, 0, 4, 0, 0, 0, 0, 4]"
fully,"[3, 0, 0, 0, 0]"
incentives,"[2, 0, 0, 0]"
prone,"[0, 0]"
intractable,[0]
management,"[3, 7]"
exception,"[0, 0, 0]"
undertaken,"[0, 0, 0, 0, 0, 0, 0, 1]"
plans,"[0, 0, 2, 4, 0, 3, 1, 0]"
monopoly,"[0, 0]"
far,"[0, 0, 8, 0, 0, 0]"
spread,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danger,"[0, 1, 1]"
Land,"[0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
serious,"[4, 0, 0, 0, 1, 0, 0, 0, 0]"
Only,"[22, 4, 0, 0, 0, 18, 0, 0, 15, 0, 0, 1, 0, 0, 0]"
marginally,[0]
development,"[0, 5, 0, 3, 0, 0, 1, 0, 2]"
external,"[0, 0, 4, 8]"
practices,"[0, 1, 0, 0, 0, 7, 0, 13, 0, 16, 1, 0, 0]"
skilled,[0]
transitional,[0]
cases,"[0, 0, 0, 0, 0, 1, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 1, 2, 0, 0]"
same,"[16, 0, 0, 0, 0, 0, 1, 0]"
trained,"[1, 0, 0, 0, 1, 2, 0, 6, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
decrees,"[2, 0, 0, 0, 1, 0]"
satisfy,"[2, 2, 0, 0, 0, 1, 0]"
as,"[0, 105, 0, 0, 18, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0]"
consequences,"[2, 0, 0, 1, 0, 0, 0, 1, 2, 0]"
To,[]
society,"[0, 0, 0, 2, 0, 14, 0, 0, 0, 0, 0, 0, 1, 0]"
developments,"[0, 5, 0, 3, 0, 0, 1, 0, 2]"
substantial,"[0, 4, 3, 0, 0, 0, 0, 2, 0, 3]"
sector,"[0, 0]"
home,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 17, 0, 0, 0, 0]"
above,"[0, 2, 0, 0, 0]"
boldly,[0]
town,"[0, 0, 0, 0, 0, 0]"
uncertainty,"[0, 0, 0, 0, 0, 1, 0, 0]"
and,[]
if,[]
telling,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
incentive,"[2, 0, 0, 0]"
adventures,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
struggle,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
symbolically,[0]
domestic,"[0, 0, 0, 0]"
institutions,"[0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
alienated,"[0, 0, 0, 0, 0, 0, 1, 0]"
stability,"[0, 1, 0]"
material,"[4, 0, 0, 0, 0, 0, 0, 0]"
looming,"[0, 0, 0, 0, 0, 0, 0]"
among,[]
seriously,"[0, 0, 0, 0, 0, 0]"
outward,"[0, 0, 0, 0]"
men,"[6, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 9, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
ahead,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0]"
obstacles,"[0, 1]"
conclusion,"[0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 4, 0, 2, 5]"
community,"[0, 0, 0, 10, 0]"
relatively,"[0, 5]"
will,"[0, 8, 0, 0, 1]"
unpleasant,[0]
potential,"[9, 0, 0, 0, 0, 1, 0, 0, 1]"
land,"[0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
policy,"[0, 0, 2]"
affects,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0]"
Taiwan,"[0, 0, 0, 0, 0]"
deficient,"[0, 0, 0, 0, 0, 0]"
even,"[0, 0, 0, 9, 0, 0, 6, 8, 0, 7, 0, 0]"
problem,"[0, 0, 8]"
phase,"[0, 2, 3, 0]"
make,"[46, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 0, 2, 0, 3, 0, 8, 16, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0]"
offering,"[0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
performance,"[0, 0, 3, 0, 0, 0, 1]"
smaller,"[0, 0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
agricultural,"[0, 0, 0]"
effective,"[0, 4, 0, 0, 0, 0, 3]"
duration,"[0, 3, 0]"
passing,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agenda,"[0, 0, 0, 0, 0]"
relations,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2]"
--,[]
Program,"[0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 3, 0]"
pressing,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Transitional,[0]
efficiency,[1]
progress,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
sectors,"[0, 0]"
now,"[0, 0, 9, 0, 0, 0, 0, 0, 2, 3, 0, 1, 0]"
groups,"[1, 50, 0, 0, 1, 0]"
state,"[0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
difficulty,"[0, 0, 1]"
seek,"[0, 0, 1, 0, 1, 2, 0]"
small,"[0, 0, 2, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0]"
claims,"[0, 6, 0, 0, 0, 0, 0]"
failure,"[0, 0, 0, 0, 0]"
finance,[2]
basic,"[0, 3, 0, 0, 0, 0]"
Iran,"[0, 0, 0]"
this,[]
especially,"[0, 11, 7, 1]"
Our,[]
gradually,"[0, 3, 0]"
operational,"[0, 11, 0, 0, 1, 0, 0]"
relation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]"
security,"[0, 0, 0, 0, 0, 0, 0, 0]"
only,"[22, 4, 0, 0, 0, 18, 0, 0, 15, 0, 0, 1, 0, 0, 0]"
assumed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
based,"[2, 1, 0, 0, 6, 0]"
class,"[6, 35, 0, 0, 1, 0, 0, 17, 0, 0, 2, 6, 3, 25, 0, 0, 0, 0]"
shared,"[0, 1, 0, 1, 0, 1, 0, 0, 7, 0, 0]"
statesmanship,"[0, 0, 0]"
constraining,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
vastly,"[0, 0]"
instead,"[10, 0, 1, 0]"
relationship,"[0, 6, 0, 0]"
fail,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]"
during,[]
local,"[0, 0, 0, 2, 0]"
lack,"[0, 0, 0, 2]"
members,"[0, 0, 0, 8, 0, 0]"
self-discipline,"[0, 0, 0]"
projection,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
enough,"[0, 4, 0, 0, 0]"
over,"[0, 0, 0, 7, 2, 0, 1]"
wishes,"[0, 0, 0, 0, 2, 1, 2, 6, 0, 0]"
