restrictive,[0],Rhode Island Legislative Council. Research Report Number 1
at,"[0, 35, 580, 0]",Rhode Island Legislative Council. Research Report Number 1
obscured,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 6, 2, 6, 0, 0, 3]",Rhode Island Legislative Council. Research Report Number 1
gasoline,"[0, 1, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
clearly,"[0, 0, 26, 14, 1]",Rhode Island Legislative Council. Research Report Number 1
manner,"[3, 6, 123, 8, 0, 15]",Rhode Island Legislative Council. Research Report Number 1
period,"[0, 0, 0, 37, 0, 0, 0, 18, 2, 0, 14, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
contracts,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 1, 8, 123, 20, 10, 2, 5, 13, 80, 6, 0, 2, 1]",Rhode Island Legislative Council. Research Report Number 1
judgment,"[0, 0, 0, 0, 0, 0, 3, 50, 0, 4, 4, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
2,"[158, 0, 0, 0, 26]",Rhode Island Legislative Council. Research Report Number 1
were,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
being,"[1, 20, 12, 100, 2, 0, 3, 21, 6, 0, 26, 722, 6, 0, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
say,"[34, 70, 0, 0, 0, 21, 0, 1, 12, 39, 0, 49, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
personal,[25],Rhode Island Legislative Council. Research Report Number 1
losses,"[0, 7, 2, 0, 3, 7, 0, 0, 71, 0, 10, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
drive,"[0, 0, 14, 0, 10, 16, 3, 18, 9, 0, 4, 1, 0, 5, 123, 24, 0, 11, 0, 7, 0, 3, 5, 0, 0, 80, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
Order,"[51, 21, 72, 11, 0, 0, 0, 0, 17, 0, 1, 0, 1, 0, 0, 39, 1, 0, 0, 0, 0, 0, 34, 0, 0, 70, 0, 1, 0, 3, 0, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11]",Rhode Island Legislative Council. Research Report Number 1
much,"[0, 6, 111, 11, 47, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
decided,"[5, 6, 0, 1, 10, 1, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
purchases,"[2, 21, 0]",Rhode Island Legislative Council. Research Report Number 1
quantity,"[12, 4, 8]",Rhode Island Legislative Council. Research Report Number 1
including,"[0, 9, 10]",Rhode Island Legislative Council. Research Report Number 1
reflects,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
simply,"[25, 11, 211, 115, 409, 2]",Rhode Island Legislative Council. Research Report Number 1
according,"[0, 0, 1, 1, 2, 15, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
higher,"[0, 0, 12, 0, 61, 0, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
home,"[0, 72, 0, 0, 3, 0, 3, 0, 1, 0, 74, 0, 0, 4, 0, 0, 8, 54, 3, 52]",Rhode Island Legislative Council. Research Report Number 1
present,"[2, 5, 0, 11, 0, 0, 6, 3, 62, 0, 0, 2, 6, 3, 44, 0, 6, 2, 36, 51, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
locations,"[0, 0, 1, 4, 0, 0, 0, 19, 1]",Rhode Island Legislative Council. Research Report Number 1
duplication,"[0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
obvious,[11],Rhode Island Legislative Council. Research Report Number 1
problems,"[20, 36, 39]",Rhode Island Legislative Council. Research Report Number 1
one,"[321, 29, 0, 786, 0, 0, 0, 0, 24, 0, 0, 3, 0, 0, 5, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
related,"[9, 0, 1, 2, 0, 0, 0, 0, 5, 3, 1, 0, 0, 0, 11, 0, 0, 3]",Rhode Island Legislative Council. Research Report Number 1
probably,"[27, 0, 0, 13, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
awards,"[1, 3, 2, 0, 1, 36, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
Services,"[0, 9, 0, 0, 0, 0, 41, 19, 0, 0, 1, 0, 0, 3, 0, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
buying,"[0, 1, 0, 2, 4, 21, 0]",Rhode Island Legislative Council. Research Report Number 1
established,"[0, 0, 113, 5, 3, 1, 10, 0, 1, 0, 9, 0, 4, 8, 59, 3, 44, 21, 13, 3, 0, 3, 0, 51, 1]",Rhode Island Legislative Council. Research Report Number 1
per,[],Rhode Island Legislative Council. Research Report Number 1
may,"[2, 0, 0, 0, 167, 0]",Rhode Island Legislative Council. Research Report Number 1
Executive,"[5, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
station,"[7, 14, 10, 72]",Rhode Island Legislative Council. Research Report Number 1
indication,"[0, 22, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
mostly,"[6, 12, 0, 0, 5, 0]",Rhode Island Legislative Council. Research Report Number 1
because,[],Rhode Island Legislative Council. Research Report Number 1
expectations,"[0, 2, 0, 5, 3, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
reimbursements,[0],Rhode Island Legislative Council. Research Report Number 1
state,"[0, 0, 0, 0, 5, 0, 0, 0, 39, 7, 49, 70, 28, 0, 21, 32, 0, 11, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
another,"[0, 61]",Rhode Island Legislative Council. Research Report Number 1
popularly,[0],Rhode Island Legislative Council. Research Report Number 1
determination,"[0, 11, 7, 11, 1]",Rhode Island Legislative Council. Research Report Number 1
1917,[],Rhode Island Legislative Council. Research Report Number 1
Flat,"[1, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 18, 1, 0, 6, 0, 2, 16, 14, 10, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
new,"[0, 36, 1, 92, 3, 4, 4, 38, 0, 5, 12]",Rhode Island Legislative Council. Research Report Number 1
compares,"[0, 5, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
only,"[1, 13, 25, 11, 211, 0, 17, 0, 3, 115, 3, 409, 0, 3, 4]",Rhode Island Legislative Council. Research Report Number 1
points,"[4, 72, 2, 1, 0, 18, 0, 11, 3, 0, 0, 0, 0, 7, 0, 0, 0, 5, 0, 14, 73, 0, 8, 0, 0, 0, 6, 0, 0, 16, 37, 2, 0, 0, 14, 1, 44, 22, 3, 0, 0, 6, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
each,"[0, 81, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
automotive,"[0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Gasoline,"[0, 1, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
found,"[3, 102, 8, 0, 1, 14, 8, 55, 3, 0, 2, 37, 7, 123, 0, 0, 0, 0, 0, 1, 59, 5, 1, 17, 21, 13, 1, 3, 7, 4, 3, 0, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
increase,"[5, 8, 0, 13, 12, 0]",Rhode Island Legislative Council. Research Report Number 1
owns,"[4, 111, 492]",Rhode Island Legislative Council. Research Report Number 1
detail,"[6, 37, 1, 3, 20]",Rhode Island Legislative Council. Research Report Number 1
handles,"[20, 10, 3, 0, 4, 6, 8, 21, 17, 0, 1, 0, 4, 3]",Rhode Island Legislative Council. Research Report Number 1
requirements,"[0, 0, 3, 18, 14, 13, 4]",Rhode Island Legislative Council. Research Report Number 1
1959-60,[],Rhode Island Legislative Council. Research Report Number 1
type,"[16, 35, 0, 0, 0, 12]",Rhode Island Legislative Council. Research Report Number 1
reduce,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 20, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 5, 6, 0, 0, 0, 0, 14, 1]",Rhode Island Legislative Council. Research Report Number 1
assignments,"[1, 0, 0, 3, 0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
special,"[1, 5, 24, 6, 0, 10, 20]",Rhode Island Legislative Council. Research Report Number 1
control,"[1, 0, 3, 2, 102, 0, 5, 4, 0, 1, 0, 9, 3, 0, 0, 0, 0, 6, 1, 4, 4, 0, 0, 38, 0, 0, 17, 0]",Rhode Island Legislative Council. Research Report Number 1
under,"[71, 10, 0]",Rhode Island Legislative Council. Research Report Number 1
those,[],Rhode Island Legislative Council. Research Report Number 1
funds,"[0, 0, 0, 4, 0, 0, 0, 10, 0, 36, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
taxes,"[11, 7, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
staff,"[2, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
paying,"[0, 6, 3, 0, 6, 0, 0, 51, 0, 19, 0, 0, 0, 8, 0, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
if,[],Rhode Island Legislative Council. Research Report Number 1
also,"[3, 121, 2, 0, 118]",Rhode Island Legislative Council. Research Report Number 1
History,"[31, 0, 13, 40]",Rhode Island Legislative Council. Research Report Number 1
E,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
exclusively,"[13, 211, 17, 3, 3]",Rhode Island Legislative Council. Research Report Number 1
and/or,[],Rhode Island Legislative Council. Research Report Number 1
covered,"[0, 0, 6, 8, 0, 0, 9, 5, 0, 20, 4, 0, 0, 0, 6, 1, 1, 3, 1, 10, 0, 0, 2, 1, 8, 0, 0, 2, 0, 13, 0, 6, 0, 0, 0, 4]",Rhode Island Legislative Council. Research Report Number 1
paid,"[0, 6, 3, 0, 6, 0, 0, 51, 0, 19, 0, 8, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
rate,"[5, 21, 34, 0, 72, 17, 3, 17, 12]",Rhode Island Legislative Council. Research Report Number 1
proportion,"[3, 0, 2, 26, 0, 5]",Rhode Island Legislative Council. Research Report Number 1
subsequent,[1],Rhode Island Legislative Council. Research Report Number 1
kinds,"[10, 18, 39, 57]",Rhode Island Legislative Council. Research Report Number 1
reimburseable,[],Rhode Island Legislative Council. Research Report Number 1
test,"[18, 0, 0, 43, 0, 22, 8, 3, 0, 10, 3, 0, 2, 2, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
indicate,"[7, 5, 0, 2, 37, 1, 44, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
along,"[839, 37]",Rhode Island Legislative Council. Research Report Number 1
legislative,[3],Rhode Island Legislative Council. Research Report Number 1
1951-1956,[],Rhode Island Legislative Council. Research Report Number 1
while,"[1, 1, 11, 77]",Rhode Island Legislative Council. Research Report Number 1
business,"[24, 39, 5, 0, 3, 31, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
following,"[47, 0, 3, 2, 0, 2, 0, 0, 12, 2, 20, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 722, 1, 0, 0, 0, 4, 0, 0, 84, 0, 0, 11, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
Once,"[0, 0, 0, 0, 0, 53, 0]",Rhode Island Legislative Council. Research Report Number 1
controls,"[1, 0, 3, 2, 102, 0, 5, 4, 0, 1, 0, 9, 3, 0, 0, 0, 0, 6, 1, 4, 4, 0, 0, 38, 0, 0, 17, 0]",Rhode Island Legislative Council. Research Report Number 1
$.07,[],Rhode Island Legislative Council. Research Report Number 1
indicates,"[7, 5, 0, 2, 37, 1, 44, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
assign,"[51, 0, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
"13,200",[],Rhode Island Legislative Council. Research Report Number 1
rather,"[40, 1, 23, 0, 0, 0, 28, 3]",Rhode Island Legislative Council. Research Report Number 1
rationed,"[0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
monthly,[2],Rhode Island Legislative Council. Research Report Number 1
role,"[47, 12, 66, 7, 11, 16, 0, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
invariably,"[4, 46, 3]",Rhode Island Legislative Council. Research Report Number 1
non-itemized,[],Rhode Island Legislative Council. Research Report Number 1
types,"[16, 35, 0, 0, 0, 12]",Rhode Island Legislative Council. Research Report Number 1
forth,"[9, 9, 0, 102, 0, 40, 0]",Rhode Island Legislative Council. Research Report Number 1
action,"[0, 52, 8, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
perfectly,"[9, 3, 8, 27]",Rhode Island Legislative Council. Research Report Number 1
traded,"[20, 0, 16, 4, 0, 0, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
similar,"[176, 15, 1, 0, 0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
unit,"[28, 5, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
fixed,"[4, 113, 2, 1, 2, 0, 0, 0, 4, 0, 0, 0, 0, 2, 21, 46, 0, 7, 0, 0, 123, 0, 1, 0, 0, 0, 1, 0, 0, 6, 7, 0, 0, 0, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
It,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
pool's,[],Rhode Island Legislative Council. Research Report Number 1
Where,[],Rhode Island Legislative Council. Research Report Number 1
State,"[0, 0, 0, 0, 5, 0, 0, 0, 39, 7, 49, 70, 28, 0, 21, 32, 0, 11, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
twenty,"[8, 0, 0, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
necessary,"[0, 3, 18, 13, 4]",Rhode Island Legislative Council. Research Report Number 1
anything,[],Rhode Island Legislative Council. Research Report Number 1
lieu,"[0, 72, 0, 19]",Rhode Island Legislative Council. Research Report Number 1
subject,"[5, 0, 0, 16, 7, 0, 1, 35, 5, 34, 0, 8, 29, 2, 24, 7, 7, 25, 0, 0, 38, 1]",Rhode Island Legislative Council. Research Report Number 1
excels,"[0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
puts,"[51, 0, 3, 29, 1, 72, 0, 34, 1, 4, 0, 0, 46, 0, 5, 0, 19]",Rhode Island Legislative Council. Research Report Number 1
considerable,[6],Rhode Island Legislative Council. Research Report Number 1
change-over,[],Rhode Island Legislative Council. Research Report Number 1
One,"[321, 29, 0, 786, 0, 0, 0, 0, 24, 0, 0, 3, 0, 0, 5, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
same,"[0, 176, 3, 88, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
auxiliary,"[0, 0, 0, 0, 2, 0, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Until,[],Rhode Island Legislative Council. Research Report Number 1
F,"[0, 0, 0, 0, 0, 15]",Rhode Island Legislative Council. Research Report Number 1
than,[],Rhode Island Legislative Council. Research Report Number 1
conditions,"[17, 2, 8, 1, 0, 15, 0, 0, 0, 5, 7, 7, 6, 13, 8, 0, 0, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
have,"[2, 49, 0, 113, 0, 3, 0, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 0, 4, 4, 80, 2, 51, 17, 7]",Rhode Island Legislative Council. Research Report Number 1
system,"[0, 4, 0, 23, 8, 1]",Rhode Island Legislative Council. Research Report Number 1
concern,"[0, 0, 0, 1, 3, 21, 0, 31, 5, 8, 0, 0, 0, 1, 0, 33, 1, 10, 0, 11]",Rhode Island Legislative Council. Research Report Number 1
Whereas,[],Rhode Island Legislative Council. Research Report Number 1
actual,"[0, 4, 1, 10, 33, 2]",Rhode Island Legislative Council. Research Report Number 1
little,"[3, 0, 1, 0, 0, 99, 3, 28, 0, 0, 67, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
expanded,"[1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
provide,"[16, 3, 0, 1, 1, 0, 0, 11, 0, 0, 12, 32]",Rhode Island Legislative Council. Research Report Number 1
remained,"[13, 13, 16, 16, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
extent,[9],Rhode Island Legislative Council. Research Report Number 1
since,[],Rhode Island Legislative Council. Research Report Number 1
advantage,"[10, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
The,[],Rhode Island Legislative Council. Research Report Number 1
show,"[1, 0, 0, 15, 1, 1, 0, 1, 7, 0, 0, 7, 19, 8, 37, 6, 0, 1, 2, 3, 44, 20, 6, 21, 3, 36]",Rhode Island Legislative Council. Research Report Number 1
Nineteen,"[3, 0, 5, 0]",Rhode Island Legislative Council. Research Report Number 1
pool,"[0, 0, 0, 4, 0, 0, 48]",Rhode Island Legislative Council. Research Report Number 1
responsible,"[9, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
reduced,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 20, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 0, 1, 5, 6, 0, 0, 0, 0, 14, 1]",Rhode Island Legislative Council. Research Report Number 1
Purchases,"[2, 21, 0]",Rhode Island Legislative Council. Research Report Number 1
are,"[1, 12, 479, 0, 21, 3, 6, 0, 26, 722, 0, 6, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
governmental,[1],Rhode Island Legislative Council. Research Report Number 1
reason,"[1, 30, 0, 0, 0, 4, 9, 2, 18, 5, 21]",Rhode Island Legislative Council. Research Report Number 1
repairs,"[3, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Origin,"[24, 20, 0, 1, 0, 4, 3, 3, 1, 36, 0, 0, 0, 0, 3, 4, 0, 7, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
overly,"[1, 0, 0, 118]",Rhode Island Legislative Council. Research Report Number 1
felt,"[1, 0, 8, 49, 49, 0, 0, 0, 40, 55, 0, 0, 37]",Rhode Island Legislative Council. Research Report Number 1
shows,"[1, 0, 0, 15, 1, 1, 0, 1, 7, 0, 0, 7, 19, 8, 37, 6, 0, 1, 2, 3, 44, 20, 6, 21, 3, 36]",Rhode Island Legislative Council. Research Report Number 1
this,[],Rhode Island Legislative Council. Research Report Number 1
policy,"[5, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
vehicles,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
ratio,"[3, 5]",Rhode Island Legislative Council. Research Report Number 1
objective,"[0, 0, 5, 4, 0, 0, 8, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
exceptional,"[1, 20, 24, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
undertaken,"[0, 2, 0, 6, 0, 0, 1, 7]",Rhode Island Legislative Council. Research Report Number 1
roads,"[47, 0, 3, 5]",Rhode Island Legislative Council. Research Report Number 1
needs,"[0, 16, 0, 14, 0, 0, 8, 51, 0, 5, 6, 6, 0, 80, 1, 6, 22, 0, 0, 54]",Rhode Island Legislative Council. Research Report Number 1
compare,"[0, 5, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
service,"[0, 9, 0, 0, 0, 0, 41, 19, 0, 0, 1, 0, 0, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
cost-accounting,[],Rhode Island Legislative Council. Research Report Number 1
position,"[51, 72, 0, 43, 1, 0, 1, 19, 1, 29, 0, 46, 7, 0, 4, 1, 17, 16, 4, 18, 0, 0, 6, 0, 61, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
its,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
proper,"[84, 9]",Rhode Island Legislative Council. Research Report Number 1
July,[1],Rhode Island Legislative Council. Research Report Number 1
Administration,"[0, 0, 0, 4, 0, 0, 0, 0, 2, 8, 13, 8, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
entitled,"[4, 0, 0, 3, 2]",Rhode Island Legislative Council. Research Report Number 1
over,"[0, 0, 0, 163, 1, 22, 6]",Rhode Island Legislative Council. Research Report Number 1
effecting,"[0, 27, 0]",Rhode Island Legislative Council. Research Report Number 1
reveal,"[2, 0, 1, 0, 0, 0, 13, 0, 0, 6, 0, 0, 3]",Rhode Island Legislative Council. Research Report Number 1
work,"[0, 9, 113, 18, 6, 2, 0, 0, 3, 1, 0, 6, 5, 127, 0, 0, 39, 0, 12, 0, 0, 0, 23, 0, 0, 43, 24, 0, 22, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
But,"[25, 11, 211, 115, 409]",Rhode Island Legislative Council. Research Report Number 1
At,"[0, 35, 580, 0]",Rhode Island Legislative Council. Research Report Number 1
cost-billing,[],Rhode Island Legislative Council. Research Report Number 1
operations,"[1, 2, 0, 0, 12, 0, 0, 0, 0, 11, 0, 6, 6, 0, 8, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
inefficient,"[0, 1]",Rhode Island Legislative Council. Research Report Number 1
substituted,"[0, 5, 0, 0, 3, 0, 4, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
then,"[177, 0, 0, 228]",Rhode Island Legislative Council. Research Report Number 1
dispersement,[],Rhode Island Legislative Council. Research Report Number 1
background,"[0, 0, 0, 5, 1, 0, 21, 8, 0, 4, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Note,"[24, 1, 0, 6, 0, 0, 0, 0, 8, 0, 0, 8, 10, 0, 0, 1, 0, 0, 4, 0, 9, 0, 2, 0, 4, 9, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
records,"[12, 0, 1, 0, 0, 0, 0, 0, 19, 0, 0, 12, 0, 44, 0, 21, 0, 2, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
favorably,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
they,[],Rhode Island Legislative Council. Research Report Number 1
Those,[],Rhode Island Legislative Council. Research Report Number 1
operational,"[4, 2, 0, 0, 0, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
best,"[9, 0, 20, 0, 1, 1, 0, 0, 0, 134, 1, 0, 1, 0, 8, 24, 3, 1, 0, 0, 0, 5, 5, 0, 0, 7, 4, 82, 0, 57, 23, 2, 0, 0, 36, 0, 8, 8, 0, 84, 115, 25, 2, 0, 0, 5, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
considering,"[20, 0, 1, 24, 80, 0, 0, 4, 31, 17, 65, 0, 3, 102, 11, 0, 7, 10]",Rhode Island Legislative Council. Research Report Number 1
meaningful,[2],Rhode Island Legislative Council. Research Report Number 1
payments,"[0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
high,"[0, 0, 0, 2, 0, 0, 1, 0, 0, 61, 0, 0, 0, 2, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
phases,"[11, 0, 4, 39]",Rhode Island Legislative Council. Research Report Number 1
states,"[0, 0, 0, 0, 5, 0, 0, 0, 39, 7, 49, 70, 28, 0, 21, 32, 0, 11, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
agencies,"[0, 1, 5, 123, 2, 27, 0, 0, 16, 1]",Rhode Island Legislative Council. Research Report Number 1
resulted,"[32, 20, 0, 27]",Rhode Island Legislative Council. Research Report Number 1
on,"[839, 37]",Rhode Island Legislative Council. Research Report Number 1
travel,"[0, 19, 0, 3, 0, 90, 0, 0, 12, 1, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
individual,"[28, 0, 4, 7, 24, 19, 10, 4, 0, 14]",Rhode Island Legislative Council. Research Report Number 1
three-year,[],Rhode Island Legislative Council. Research Report Number 1
controversial,[2],Rhode Island Legislative Council. Research Report Number 1
described,"[6, 24, 9, 0, 2, 31, 14, 0, 8, 3, 4, 6, 0, 13, 3]",Rhode Island Legislative Council. Research Report Number 1
the,[],Rhode Island Legislative Council. Research Report Number 1
rotary,"[0, 10, 0, 0, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
depreciation,"[0, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
compact,"[0, 1, 0, 1, 0, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 0]",Rhode Island Legislative Council. Research Report Number 1
mechanized,"[0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
so,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",Rhode Island Legislative Council. Research Report Number 1
maintenance,"[0, 1, 0, 0, 2, 0, 0, 21]",Rhode Island Legislative Council. Research Report Number 1
Fixed,"[4, 113, 2, 1, 2, 0, 0, 0, 4, 0, 0, 0, 0, 2, 21, 46, 0, 7, 0, 0, 123, 0, 1, 0, 0, 0, 1, 0, 0, 6, 7, 0, 0, 0, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
practices,"[6, 0, 0, 8, 66, 1, 7, 0, 0, 163, 0, 0, 5]",Rhode Island Legislative Council. Research Report Number 1
travelers,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
purchasing,"[2, 4, 1, 21]",Rhode Island Legislative Council. Research Report Number 1
hardship,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
evaluated,"[17, 0, 1, 0, 1, 9, 8, 1]",Rhode Island Legislative Council. Research Report Number 1
from,[],Rhode Island Legislative Council. Research Report Number 1
states',[],Rhode Island Legislative Council. Research Report Number 1
many,[94],Rhode Island Legislative Council. Research Report Number 1
these,[],Rhode Island Legislative Council. Research Report Number 1
liability,"[0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
Cars,"[0, 7, 0, 0, 0, 0, 47, 8, 8, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
there,"[276, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
adequate,"[12, 76, 4, 0, 9, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
stock,"[1, 24, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 2, 36, 0, 1, 2, 0, 4, 0, 10, 3, 0, 9, 0, 8, 1, 1, 0, 7, 7, 0, 6, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
$15,[],Rhode Island Legislative Council. Research Report Number 1
Actual,"[0, 4, 1, 10, 33, 2]",Rhode Island Legislative Council. Research Report Number 1
Using,"[6, 0, 0, 0, 13, 66, 0, 0, 1, 0, 7, 0]",Rhode Island Legislative Council. Research Report Number 1
officials,"[6, 0]",Rhode Island Legislative Council. Research Report Number 1
expensive,[5],Rhode Island Legislative Council. Research Report Number 1
controlled,"[1, 0, 3, 2, 102, 5, 9, 3, 0, 0, 0, 5, 6, 1, 4, 0, 38, 0, 17, 0]",Rhode Island Legislative Council. Research Report Number 1
billing,"[0, 4, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
motor,"[7, 11, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
excess,"[0, 0, 6, 0, 0, 2, 0, 0, 5, 2, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
which,[],Rhode Island Legislative Council. Research Report Number 1
inadequate,"[0, 8, 28, 6]",Rhode Island Legislative Council. Research Report Number 1
officer,"[0, 0, 0, 2, 10, 0]",Rhode Island Legislative Council. Research Report Number 1
