obedience,"[2, 13, 0]",Christian Ethics & the Sit-In
rights,"[0, 0, 8, 84, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
person,"[14, 28, 4, 7, 19, 4]",Christian Ethics & the Sit-In
being,"[21, 20, 12, 1, 11, 722, 6, 0, 26, 0, 100, 0, 2, 0, 6, 3]",Christian Ethics & the Sit-In
strong,"[0, 14, 0, 11, 11, 33, 3, 0, 3, 1, 0, 25, 0]",Christian Ethics & the Sit-In
cause,"[5, 10, 0, 0, 30, 16, 1, 163, 0, 0, 113, 7, 0, 11, 18, 35, 123, 11, 0, 492]",Christian Ethics & the Sit-In
justification,[3],Christian Ethics & the Sit-In
yellow,"[0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",Christian Ethics & the Sit-In
love-in-action,[],Christian Ethics & the Sit-In
achievement,"[0, 2]",Christian Ethics & the Sit-In
Christian,"[0, 10]",Christian Ethics & the Sit-In
Philco-sponsored,[],Christian Ethics & the Sit-In
outstanding,"[5, 3, 4, 0, 0, 61, 3, 0]",Christian Ethics & the Sit-In
Mennonite,[0],Christian Ethics & the Sit-In
asserted,"[0, 2, 0, 3, 0, 0, 1, 0, 0, 3, 0, 5]",Christian Ethics & the Sit-In
contribute,"[1, 20, 0, 51, 4, 1, 1, 9, 0, 0, 0, 18]",Christian Ethics & the Sit-In
broke,"[0, 57, 0, 1, 0, 0, 18, 0, 2, 1, 6, 0, 13, 1, 0, 0, 1, 0, 0, 2, 47, 51, 0, 90, 0, 0, 12, 0, 0, 2, 1, 0, 0, 0, 7, 0, 6, 0, 1, 1, 0, 0, 7, 0, 0, 0, 0, 0, 3, 3, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 11, 3, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0]",Christian Ethics & the Sit-In
decentralization,"[0, 0, 0]",Christian Ethics & the Sit-In
charity,"[0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
dealer,"[7, 0, 2, 3, 0]",Christian Ethics & the Sit-In
knowingly,"[0, 0]",Christian Ethics & the Sit-In
final,"[2, 0, 2, 83, 0, 21, 0]",Christian Ethics & the Sit-In
location,"[0, 19, 0, 0, 1, 0, 1, 4, 0]",Christian Ethics & the Sit-In
him,[],Christian Ethics & the Sit-In
Quakers,"[0, 0, 0, 0, 1, 0, 0]",Christian Ethics & the Sit-In
intimidate,"[0, 1]",Christian Ethics & the Sit-In
apply,"[0, 0, 0, 51, 1, 6, 0, 0, 0, 66, 0, 17, 7]",Christian Ethics & the Sit-In
forced,"[5, 10, 1, 0, 0, 7, 4, 0, 9, 3, 0, 4, 0, 14, 15, 11, 0]",Christian Ethics & the Sit-In
diametrically,[0],Christian Ethics & the Sit-In
men,"[63, 0, 0, 0, 7, 0, 0, 173, 6, 0, 0, 4, 0, 0, 11, 0, 8, 96, 0, 11, 0, 0, 49, 0, 0, 1, 51]",Christian Ethics & the Sit-In
Mennonites,[0],Christian Ethics & the Sit-In
number,"[42, 24, 22, 0, 0, 0, 0, 22, 37, 0, 0, 16, 22, 84, 21, 0, 12, 5, 0, 7]",Christian Ethics & the Sit-In
therefore,"[3, 1, 22, 0, 12, 228]",Christian Ethics & the Sit-In
writer,"[1, 5]",Christian Ethics & the Sit-In
relevant,[1],Christian Ethics & the Sit-In
recourse,"[3, 0, 2]",Christian Ethics & the Sit-In
conduct,"[0, 1, 2, 0, 1, 0, 13, 0, 20, 0, 9, 0, 0, 2, 0, 16, 0, 3, 6, 5, 20, 0, 80]",Christian Ethics & the Sit-In
there,"[0, 0, 0, 0, 276, 0]",Christian Ethics & the Sit-In
his,[],Christian Ethics & the Sit-In
Such,[107],Christian Ethics & the Sit-In
man's,[],Christian Ethics & the Sit-In
assert,"[2, 0, 3, 0, 0, 1, 0, 0, 3, 0, 5]",Christian Ethics & the Sit-In
on,"[839, 37]",Christian Ethics & the Sit-In
19,"[3, 0, 5, 0]",Christian Ethics & the Sit-In
had,"[7, 49, 4, 4, 0, 17, 1, 0, 1, 51, 51, 6, 2, 6, 0, 111, 0, 113, 18, 0, 3, 6, 123, 2, 0, 80, 492]",Christian Ethics & the Sit-In
should,[],Christian Ethics & the Sit-In
freedom,"[13, 1]",Christian Ethics & the Sit-In
aggression,"[0, 1, 0]",Christian Ethics & the Sit-In
located,"[46, 0, 0, 6, 1, 19, 2, 2, 72, 4]",Christian Ethics & the Sit-In
even,"[1, 1, 0, 115, 10, 14, 14, 47, 8, 103, 0, 0]",Christian Ethics & the Sit-In
Attorney,"[3, 5]",Christian Ethics & the Sit-In
champion,"[0, 2, 0, 0, 0, 0, 8, 0, 1, 3, 0, 0, 1, 1, 0, 1, 2, 5, 0, 0, 0, 0, 1, 0, 0, 3, 2]",Christian Ethics & the Sit-In
Since,[],Christian Ethics & the Sit-In
case,"[12, 0, 0, 0, 0, 1, 62, 0, 0, 0, 16, 0, 0, 10, 0, 0, 0, 25, 0, 7, 23, 0, 0, 8, 0, 18, 6, 35, 0, 0, 0, 0]",Christian Ethics & the Sit-In
seem,"[3, 59, 26]",Christian Ethics & the Sit-In
primarily,"[1, 0, 2, 0, 3, 3]",Christian Ethics & the Sit-In
races,"[14, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 0, 0, 3, 0, 30, 0, 0, 0]",Christian Ethics & the Sit-In
namely,"[5, 0, 0, 0, 0]",Christian Ethics & the Sit-In
while,"[77, 1, 11, 1]",Christian Ethics & the Sit-In
dominated,"[0, 1, 0, 0, 0, 8, 0, 2, 0, 2, 1, 1, 9]",Christian Ethics & the Sit-In
of,[],Christian Ethics & the Sit-In
assumed,"[0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 9, 0, 0, 0, 0, 0, 6, 0, 1, 7, 0, 0, 80, 3]",Christian Ethics & the Sit-In
accord,"[0, 0, 0, 11, 0, 2, 2, 1, 6, 1, 0, 0, 0, 0]",Christian Ethics & the Sit-In
goals,"[3, 51, 3, 1]",Christian Ethics & the Sit-In
Perhaps,"[13, 18, 0, 13, 0, 0]",Christian Ethics & the Sit-In
That,[],Christian Ethics & the Sit-In
B.,[],Christian Ethics & the Sit-In
analogous,"[0, 1]",Christian Ethics & the Sit-In
Tennessee,"[0, 0, 0, 2]",Christian Ethics & the Sit-In
applications,"[1, 0, 0, 7, 0, 0, 3, 0]",Christian Ethics & the Sit-In
raises,"[0, 8, 2, 3, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 48, 0, 0, 0, 0, 3, 4, 1, 0, 7, 1, 0, 0, 0, 0, 12, 1, 0, 16]",Christian Ethics & the Sit-In
In,"[0, 0, 152, 0, 0, 2255, 1, 0, 2, 3]",Christian Ethics & the Sit-In
chain,"[0, 0, 0, 0, 0, 0, 3, 4, 21, 0, 1, 0, 0]",Christian Ethics & the Sit-In
government,"[13, 8, 0, 3, 0, 3, 0, 3, 4]",Christian Ethics & the Sit-In
lunch,"[0, 0, 0, 2]",Christian Ethics & the Sit-In
opponent,"[5, 9, 1, 0, 0, 1, 0, 0]",Christian Ethics & the Sit-In
made,"[1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 17, 0, 163, 51, 0, 0, 6, 0, 0, 127, 21, 4, 0, 9, 39, 0, 117, 0, 31, 0, 4, 113, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 18, 11, 9, 0, 0, 0, 26, 0, 1, 1, 5, 0, 0, 123, 0, 9, 0, 0, 0, 80, 492, 16]",Christian Ethics & the Sit-In
instances,"[35, 23, 1, 2, 10, 1, 3]",Christian Ethics & the Sit-In
resolved,"[25, 0, 0, 2, 0, 0, 0, 6, 11, 2, 4, 0, 1]",Christian Ethics & the Sit-In
pre-conditions,[],Christian Ethics & the Sit-In
wholly,"[13, 24, 352, 6, 2, 2, 28]",Christian Ethics & the Sit-In
discrimination,"[0, 1, 0, 0]",Christian Ethics & the Sit-In
relations,"[0, 9, 5, 0, 0, 1, 0, 13, 0, 8, 0, 0, 0, 0, 0, 0, 8]",Christian Ethics & the Sit-In
customs,"[13, 0, 1, 1, 0, 0, 3]",Christian Ethics & the Sit-In
repressed,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0]",Christian Ethics & the Sit-In
great,"[0, 30, 0, 0, 18, 0, 2, 0, 0, 0, 3, 0, 2, 0, 61, 53, 0, 4, 0, 0, 0, 5, 0, 1, 3]",Christian Ethics & the Sit-In
organized,"[16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 39, 4, 0]",Christian Ethics & the Sit-In
many,[94],Christian Ethics & the Sit-In
policy,"[5, 0, 6]",Christian Ethics & the Sit-In
justice,"[0, 0, 9, 0, 1, 0, 1, 9]",Christian Ethics & the Sit-In
largely,"[6, 0, 5]",Christian Ethics & the Sit-In
network,"[2, 0, 0, 3, 0, 1, 0]",Christian Ethics & the Sit-In
destroy,"[0, 0, 0, 2, 5]",Christian Ethics & the Sit-In
),[],Christian Ethics & the Sit-In
based,"[14, 0, 21, 3, 59, 3]",Christian Ethics & the Sit-In
beyond,[18],Christian Ethics & the Sit-In
leadership,"[9, 11, 5]",Christian Ethics & the Sit-In
clear,"[0, 29, 0, 8, 0, 0, 0, 3, 0, 38, 18, 0, 2, 0, 0, 0, 47, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 113, 0, 0, 0, 0, 0, 2, 0, 0, 0, 26, 0, 12, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2]",Christian Ethics & the Sit-In
injury,"[2, 4, 0, 0, 0, 16, 2]",Christian Ethics & the Sit-In
might,"[81, 58, 0]",Christian Ethics & the Sit-In
cut,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 4, 1, 0, 0, 2, 4, 0, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 0, 0, 14, 1, 1, 0, 0, 4]",Christian Ethics & the Sit-In
additional,"[13, 6]",Christian Ethics & the Sit-In
South,"[0, 0, 0, 0, 11, 0, 23, 0, 0, 1, 6, 0]",Christian Ethics & the Sit-In
nation,"[0, 1, 0, 49, 28, 0, 0, 11, 32, 0]",Christian Ethics & the Sit-In
both,[76],Christian Ethics & the Sit-In
unqualified,"[0, 1, 0]",Christian Ethics & the Sit-In
governing,"[0, 1, 8, 8, 13, 0, 0, 1, 0, 34, 4]",Christian Ethics & the Sit-In
fact,[74],Christian Ethics & the Sit-In
--,[],Christian Ethics & the Sit-In
prove,"[0, 3, 8, 18, 0, 2, 7, 44, 3, 22, 3, 15, 0, 0, 1, 10, 0, 0]",Christian Ethics & the Sit-In
detail,"[37, 20, 3, 6, 1]",Christian Ethics & the Sit-In
minds,"[50, 73, 0, 0, 0, 1, 0, 0, 31, 0, 4, 0, 0, 0, 5, 14]",Christian Ethics & the Sit-In
Title,"[0, 4, 0, 0, 8, 0, 0, 0, 7, 0, 1]",Christian Ethics & the Sit-In
likely,"[0, 0, 13, 6, 7, 27, 0]",Christian Ethics & the Sit-In
agrees,"[0, 0, 0, 2, 0, 3, 0, 2, 1, 0, 8, 1, 1, 17, 6, 0]",Christian Ethics & the Sit-In
leaders,"[0, 5, 0, 11, 4]",Christian Ethics & the Sit-In
principles,"[8, 0, 14, 0]",Christian Ethics & the Sit-In
distinction,"[9, 0, 2, 8, 3]",Christian Ethics & the Sit-In
But,"[211, 25, 409, 115, 11]",Christian Ethics & the Sit-In
forbids,"[0, 0, 1, 7, 0, 0, 0, 0, 0, 1, 1]",Christian Ethics & the Sit-In
will,"[0, 0, 218, 0, 32]",Christian Ethics & the Sit-In
re-establishing,[],Christian Ethics & the Sit-In
Everybody,[],Christian Ethics & the Sit-In
presented,"[3, 0, 0, 0, 44, 0, 62, 51, 11, 36, 0, 6, 5, 3, 2, 6, 6, 2, 0, 0]",Christian Ethics & the Sit-In
form,"[8, 0, 0, 4, 0, 5, 0, 0, 0, 22, 0, 3, 12, 19, 0, 0, 13, 0, 57, 10, 0, 6, 127, 1, 39, 0, 0, 0, 1, 113, 18, 1, 4, 3, 1, 0, 1, 74, 0, 0, 9, 0, 0, 12, 0, 0, 0, 0]",Christian Ethics & the Sit-In
dissimilar,"[24, 1, 0, 0]",Christian Ethics & the Sit-In
fails,"[0, 0, 3, 11, 6, 0, 0, 1, 0, 0, 0, 90, 13, 0, 0, 0, 0]",Christian Ethics & the Sit-In
God,"[2, 59, 1, 0, 0, 4, 0, 0]",Christian Ethics & the Sit-In
investors,[0],Christian Ethics & the Sit-In
no,"[0, 0, 266, 50, 0]",Christian Ethics & the Sit-In
said,"[0, 12, 49, 316, 70, 1, 0, 0, 21, 0, 0, 34, 0, 0, 39, 0, 0]",Christian Ethics & the Sit-In
County,[17],Christian Ethics & the Sit-In
sake,"[3, 0, 0, 33]",Christian Ethics & the Sit-In
facts,[74],Christian Ethics & the Sit-In
used,"[0, 0, 6, 1, 0, 0, 0, 43, 1, 66, 0, 0, 1, 0, 7]",Christian Ethics & the Sit-In
was,"[0, 12, 1, 11, 15, 6, 722, 0, 0, 26, 0, 21, 0, 6, 3]",Christian Ethics & the Sit-In
published,"[0, 16, 0, 14, 0, 0, 7, 0, 7]",Christian Ethics & the Sit-In
remedies,"[0, 2, 0, 3, 5, 0, 0, 0, 1, 4, 0]",Christian Ethics & the Sit-In
practice,"[8, 0, 163, 6, 0, 0, 7, 0, 66, 1, 5, 0, 0]",Christian Ethics & the Sit-In
bottom,"[0, 0, 1, 0, 0, 0, 4, 0, 12, 0, 1, 0, 0, 0, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 38, 12, 0, 13, 0, 0, 3, 235, 0, 0]",Christian Ethics & the Sit-In
thing,"[0, 53, 29]",Christian Ethics & the Sit-In
insight,"[0, 1, 7, 0, 0, 0, 0]",Christian Ethics & the Sit-In
counters,"[0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 13, 1, 0, 0]",Christian Ethics & the Sit-In
against,[],Christian Ethics & the Sit-In
can,"[0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 3, 7, 0, 0, 1, 1, 0, 4, 29, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 38, 0, 0, 0, 12, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 235, 0, 0, 0]",Christian Ethics & the Sit-In
so,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",Christian Ethics & the Sit-In
``,[],Christian Ethics & the Sit-In
less,"[0, 0, 0, 68]",Christian Ethics & the Sit-In
between,"[83, 0, 0]",Christian Ethics & the Sit-In
strength,"[0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 14, 0]",Christian Ethics & the Sit-In
specified,"[0, 1, 0, 0, 0, 0, 0, 46, 1, 17, 7, 0, 0, 2, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2]",Christian Ethics & the Sit-In
very,"[40, 1, 5, 33, 81, 0]",Christian Ethics & the Sit-In
alone,"[211, 13, 2, 1, 0, 3, 0, 0, 0, 11, 17, 3, 3, 10]",Christian Ethics & the Sit-In
.,[],Christian Ethics & the Sit-In
changing,"[0, 3, 5, 5, 3, 34, 0, 10, 1, 7, 0, 1, 6, 0]",Christian Ethics & the Sit-In
victim,"[0, 4]",Christian Ethics & the Sit-In
whenever,[],Christian Ethics & the Sit-In
man,"[0, 0, 0, 7, 0, 173, 6, 0, 0, 4, 0, 0, 11, 8, 96, 0, 11, 0, 49, 0, 0, 1]",Christian Ethics & the Sit-In
certainly,"[0, 0, 42, 16, 0, 9, 0]",Christian Ethics & the Sit-In
conscience,"[0, 0, 3, 0]",Christian Ethics & the Sit-In
happens,"[0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 3, 55, 17, 0, 0, 3, 14]",Christian Ethics & the Sit-In
However,"[1, 47, 0, 3, 6, 103, 35, 0, 0]",Christian Ethics & the Sit-In
enthusiasm,"[2, 0, 0]",Christian Ethics & the Sit-In
found,"[0, 13, 7, 2, 0, 0, 1, 1, 8, 14, 3, 0, 1, 8, 59, 0, 17, 4, 3, 37, 1, 0, 0, 7, 1, 3, 3, 55, 0, 21, 0, 123, 0, 0, 5, 102]",Christian Ethics & the Sit-In
African,[4],Christian Ethics & the Sit-In
conditions,"[1, 0, 0, 2, 0, 0, 17, 13, 7, 7, 15, 8, 8, 0, 0, 2, 5, 0, 6]",Christian Ethics & the Sit-In
company,"[0, 0, 0, 11, 2, 2, 1, 14, 0, 15, 0]",Christian Ethics & the Sit-In
Fayette,[],Christian Ethics & the Sit-In
million,"[0, 0, 2, 0, 0, 1, 0, 0, 14]",Christian Ethics & the Sit-In
drama,"[23, 2, 0, 0]",Christian Ethics & the Sit-In
could,[],Christian Ethics & the Sit-In
first,"[20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 1, 169, 0, 19, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",Christian Ethics & the Sit-In
distinctions,"[9, 0, 2, 8, 3]",Christian Ethics & the Sit-In
from,[],Christian Ethics & the Sit-In
principle,"[8, 0, 14, 0]",Christian Ethics & the Sit-In
needs,"[0, 0, 22, 0, 6, 51, 0, 0, 8, 6, 14, 1, 16, 0, 0, 0, 6, 5, 54, 80]",Christian Ethics & the Sit-In
up,"[0, 4, 0, 3, 307, 0]",Christian Ethics & the Sit-In
violent,"[4, 0, 1, 0, 10, 5, 10, 1]",Christian Ethics & the Sit-In
love's,[],Christian Ethics & the Sit-In
world,"[0, 1, 20, 9, 0, 0, 1, 0, 0, 173, 0, 16, 4, 1, 4, 0, 0, 8, 11, 96, 11, 0, 22, 35, 0, 0]",Christian Ethics & the Sit-In
Heaven,"[0, 0, 0, 0, 1, 1, 2]",Christian Ethics & the Sit-In
advantage,"[0, 1, 10]",Christian Ethics & the Sit-In
demoralizes,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
firmer,"[0, 0, 14, 4, 3, 0, 0, 0, 0, 0, 0, 25, 1, 11, 19]",Christian Ethics & the Sit-In
them,[],Christian Ethics & the Sit-In
called,"[2, 0, 12, 4, 0, 8, 31, 1, 5, 1, 2, 0, 0, 0, 0, 0, 4, 6, 0, 11, 25, 10, 0, 0, 9, 0]",Christian Ethics & the Sit-In
almost,"[23, 0, 0, 18, 66, 237, 3, 104]",Christian Ethics & the Sit-In
say,"[12, 49, 70, 1, 0, 0, 21, 0, 0, 34, 0, 0, 39, 0]",Christian Ethics & the Sit-In
foregoing,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 2, 0]",Christian Ethics & the Sit-In
amount,"[84, 42, 0, 8, 4, 0, 12, 0, 5, 22]",Christian Ethics & the Sit-In
whether,[],Christian Ethics & the Sit-In
oppression,"[0, 0, 0]",Christian Ethics & the Sit-In
ends,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",Christian Ethics & the Sit-In
undertaken,"[0, 6, 0, 1, 0, 0, 2, 7]",Christian Ethics & the Sit-In
destroyed,"[4, 0, 0, 0, 0, 2, 5]",Christian Ethics & the Sit-In
blunt,"[0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]",Christian Ethics & the Sit-In
has,"[7, 49, 4, 4, 0, 17, 1, 0, 0, 1, 51, 51, 6, 2, 6, 0, 111, 0, 113, 18, 0, 3, 6, 0, 123, 2, 0, 80, 492]",Christian Ethics & the Sit-In
and,[],Christian Ethics & the Sit-In
same,"[0, 176, 88, 0, 3, 0, 0, 0]",Christian Ethics & the Sit-In
economy,"[0, 2, 2, 0]",Christian Ethics & the Sit-In
country,"[0, 0, 49, 28, 0, 11, 32, 32, 0]",Christian Ethics & the Sit-In
may,"[0, 0, 2, 167, 0, 0]",Christian Ethics & the Sit-In
protest,"[0, 5, 0, 1, 2]",Christian Ethics & the Sit-In
lives,"[0, 1, 0, 33, 0, 5, 0, 0, 1, 2, 6, 0, 26, 90, 1, 0, 0, 98, 0, 14, 0, 0, 0, 0, 83, 0, 129, 0, 722, 49]",Christian Ethics & the Sit-In
sit-in,[0],Christian Ethics & the Sit-In
overcomes,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 9]",Christian Ethics & the Sit-In
chosen,"[3, 0, 0, 4, 3, 0, 0, 80, 8]",Christian Ethics & the Sit-In
also,"[121, 2, 3, 0, 118]",Christian Ethics & the Sit-In
subjectively,[2],Christian Ethics & the Sit-In
writes,"[4, 1, 14, 1, 0, 0, 0, 3]",Christian Ethics & the Sit-In
persecution,[3],Christian Ethics & the Sit-In
This,[],Christian Ethics & the Sit-In
act,"[42, 0, 24, 0, 163, 0, 0, 0, 22, 127, 0, 37, 23, 0, 6, 1, 3, 0, 5, 19]",Christian Ethics & the Sit-In
where,[],Christian Ethics & the Sit-In
inevitable,[2],Christian Ethics & the Sit-In
quite,"[0, 40, 28, 0]",Christian Ethics & the Sit-In
effectively,"[2, 2, 0]",Christian Ethics & the Sit-In
it,"[0, 0]",Christian Ethics & the Sit-In
peace,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 11]",Christian Ethics & the Sit-In
changes,"[1, 5, 5, 0, 3, 34, 10, 0, 10, 7, 0, 0, 1, 6, 0]",Christian Ethics & the Sit-In
phrase,"[7, 0, 37, 0, 1, 0, 0, 0, 3, 0]",Christian Ethics & the Sit-In
apartheid,[0],Christian Ethics & the Sit-In
struggle,"[10, 0, 0, 0, 5, 7, 1, 7, 7, 0, 0]",Christian Ethics & the Sit-In
following,"[0, 47, 0, 0, 0, 2, 0, 0, 0, 1, 3, 0, 2, 0, 0, 4, 0, 12, 20, 0, 0, 0, 2, 3, 0, 84, 0, 11, 0, 722, 0, 0, 2, 0, 0]",Christian Ethics & the Sit-In
another,"[0, 61]",Christian Ethics & the Sit-In
terms,"[17, 17, 27, 8, 3, 0, 0, 0, 0]",Christian Ethics & the Sit-In
voluntary,"[1, 5, 0]",Christian Ethics & the Sit-In
Africa,[2],Christian Ethics & the Sit-In
trial,"[0, 10, 0, 0, 43, 0, 18]",Christian Ethics & the Sit-In
economic,"[0, 5]",Christian Ethics & the Sit-In
still,"[2, 1, 0, 11, 0, 2, 6, 0, 0, 6, 6, 4, 0, 0, 3, 47, 3, 0, 0, 0, 0, 35, 0, 115, 0, 9, 103, 0, 1, 12, 0, 0, 0, 0, 2, 0, 0, 0]",Christian Ethics & the Sit-In
prudence,"[0, 0, 0, 0]",Christian Ethics & the Sit-In
defeat,"[3, 0, 0, 0, 4, 0, 1, 9, 0]",Christian Ethics & the Sit-In
skillfully,"[0, 0]",Christian Ethics & the Sit-In
simply,"[2, 211, 25, 409, 115, 11]",Christian Ethics & the Sit-In
Citizens',[],Christian Ethics & the Sit-In
coercion,"[2, 0]",Christian Ethics & the Sit-In
meetings,"[0, 11, 18, 7, 0, 0, 2, 0, 3, 0, 7, 0, 0, 0, 23, 0, 0, 1, 3, 1, 8, 0, 0, 0, 3, 0, 3, 0, 0, 0, 102, 19]",Christian Ethics & the Sit-In
establishing,"[0, 8, 13, 44, 0, 1, 3, 1, 51, 59, 0, 113, 1, 3, 3, 9, 0, 21, 0]",Christian Ethics & the Sit-In
removed,"[0, 8, 1, 21, 0, 0, 0, 0, 1, 8, 1, 102, 2, 7, 5, 0, 12, 80, 0]",Christian Ethics & the Sit-In
i.e.,"[0, 14, 0]",Christian Ethics & the Sit-In
high,"[2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 61, 0, 0, 0, 0, 1]",Christian Ethics & the Sit-In
;,[],Christian Ethics & the Sit-In
commonly,"[0, 1, 1, 18, 0]",Christian Ethics & the Sit-In
take,"[0, 5, 0, 0, 0, 1, 21, 0, 0, 13, 0, 22, 0, 2, 6, 7, 0, 24, 3, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 0, 2, 7, 0, 5, 14, 16, 9, 0, 0, 113, 5, 6, 5, 9, 2, 0, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 80, 492, 3]",Christian Ethics & the Sit-In
white,"[0, 0, 0, 0, 0, 0, 0, 2, 18, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0]",Christian Ethics & the Sit-In
victory,"[3, 5]",Christian Ethics & the Sit-In
community,"[13, 0, 0, 0, 0]",Christian Ethics & the Sit-In
center,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 20, 0, 2, 0, 0, 15, 0, 2, 0, 2, 5, 0, 0, 0, 0, 0, 0, 1, 11, 2, 3, 0, 1, 23]",Christian Ethics & the Sit-In
diabolical,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
Union,"[0, 9, 0, 5, 1, 0, 9, 1, 4, 0, 0, 0, 2, 0, 0, 3, 0, 5, 0, 1, 15, 0, 0]",Christian Ethics & the Sit-In
political,[15],Christian Ethics & the Sit-In
Philco,[],Christian Ethics & the Sit-In
use,"[3, 0, 1, 66, 7, 6, 2, 0, 1, 0, 0, 0, 0, 0, 1, 5, 0, 0, 6, 0, 9, 11, 7]",Christian Ethics & the Sit-In
objective,"[0, 0, 4, 0, 0, 0, 5, 0, 8, 3]",Christian Ethics & the Sit-In
instrument,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 0]",Christian Ethics & the Sit-In
forward,"[1, 0, 14, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 9, 0]",Christian Ethics & the Sit-In
White,"[0, 0, 0, 0, 0, 0, 0, 2, 18, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0]",Christian Ethics & the Sit-In
different,"[0, 24, 1]",Christian Ethics & the Sit-In
stop,"[37, 3, 0, 4, 0, 14, 0, 0, 3, 1, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 18, 1, 2, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 13, 0, 0, 16, 1, 12, 0, 15, 6, 0, 4, 0, 0]",Christian Ethics & the Sit-In
means,"[2, 27, 2, 0, 0, 0, 1, 37, 0, 2, 123, 0, 65, 2]",Christian Ethics & the Sit-In
definitely,"[0, 1, 0, 3, 1, 0]",Christian Ethics & the Sit-In
result,"[5, 0, 27, 16, 25, 10, 0, 0, 27, 0, 20, 6, 1, 6, 8, 8, 0, 32]",Christian Ethics & the Sit-In
by,"[7, 497, 39, 40]",Christian Ethics & the Sit-In
light,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 28, 3, 0, 18, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 47, 1, 0, 0, 0, 0, 0, 4, 0, 1, 0, 20, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8]",Christian Ethics & the Sit-In
achieving,"[1, 1, 7, 11]",Christian Ethics & the Sit-In
